,ROC AUC,Average Precision,N features,CVS
STABL,"0.750 [0.500, 0.950]","0.801 [0.547, 0.960]","11.500 [6.250, 22.000]","0.308 [0.182, 0.447]"
SS 03,"0.710 [0.450, 0.939] (p=0.367)","0.780 [0.514, 0.951] (p=0.4)","9.500 [8.750, 11.000] (p=6.152e-01)","0.538 [0.462, 0.636] (p=8.937e-32)"
SS 05,"0.730 [0.495, 0.930] (p=0.455)","0.773 [0.525, 0.949] (p=0.412)","5.000 [5.000, 6.000] (p=4.734e-03)","0.667 [0.571, 0.800] (p=1.334e-46)"
SS 08,"0.225 [0.078, 0.389] (p=0.002)","0.476 [0.250, 0.700] (p=0.005)","0.000 [0.000, 1.000] (p=2.062e-07)","0.000 [0.000, 0.000] (p=3.535e-56)"
Lasso,"0.500 [0.192, 0.818] (p=0.034)","0.697 [0.435, 0.896] (p=0.226)","7.000 [4.000, 12.000] (p=1.173e-01)","0.364 [0.250, 0.500] (p=1.224e-04)"
Lasso 1SE,"0.540 [0.263, 0.810] (p=0.076)","0.709 [0.422, 0.907] (p=0.239)","6.500 [2.750, 12.000] (p=4.361e-02)","0.250 [0.085, 0.385] (p=1.225e-02)"
ElasticNet,"0.590 [0.274, 0.875] (p=0.157)","0.749 [0.505, 0.930] (p=0.379)","12.000 [10.000, 15.250] (p=7.451e-01)","0.417 [0.333, 0.533] (p=1.921e-10)"
