,Feature Name
Feature n°1,Bcells_Frequency
Feature n°2,CCR2nncMC_MAPKAPK2
Feature n°3,CCR2pcMC_S6
Feature n°4,CCR2pcMC_Frequency
Feature n°5,CD4Tnaive_Frequency
Feature n°6,CD4Trm_S6
Feature n°7,CD4Trm_NFkB
Feature n°8,CD4Trm_STAT6
Feature n°9,CD62LnAgedNeutrophils_S6
Feature n°10,CD8Tnaive_Frequency
Feature n°11,intMC_S6
Feature n°12,mDC_S6
Feature n°13,MDSC_S6
Feature n°14,pDC_STAT5
Feature n°15,pDC_MAPKAPK2
Feature n°16,Th1mem_STAT6
Feature n°17,Th1naive_NFkB
Feature n°18,Tregmem_STAT5
Feature n°19,Tregnaive_STAT5
Feature n°20,Tregnaive_STAT6
