,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.245 [0.075, 0.465]","0.418 [0.219, 0.673]","0.500 [0.000, 2.250]","0.000 [0.000, 0.000]",4.346e-02
SS 03,"0.300 [0.088, 0.556] (p=0.333)","0.419 [0.241, 0.730] (p=0.474)","8.000 [8.000, 9.000] (p=1.897e-45)","0.889 [0.889, 1.000] (p=0.000e+00)",1.405e-01
SS 05,"0.290 [0.061, 0.545] (p=0.361)","0.409 [0.247, 0.696] (p=0.452)","5.000 [5.000, 6.000] (p=7.847e-38)","0.714 [0.571, 1.000] (p=0.000e+00)",1.212e-01
SS 08,"0.300 [0.099, 0.542] (p=0.349)","0.428 [0.242, 0.687] (p=0.406)","1.000 [0.000, 1.000] (p=2.886e-02)","0.000 [0.000, 0.500] (p=7.251e-216)",1.222e-01
Lasso,"0.480 [0.242, 0.750] (p=0.083)","0.555 [0.310, 0.788] (p=0.098)","0.000 [0.000, 2.000] (p=4.422e-02)","0.000 [0.000, 0.000] (p=1.640e-53)",8.982e-01
Lasso 1SE,"0.480 [0.253, 0.725] (p=0.072)","0.555 [0.299, 0.789] (p=0.079)","0.000 [0.000, 2.000] (p=3.945e-02)","0.000 [0.000, 0.000] (p=2.037e-52)",8.982e-01
ElasticNet,"0.270 [0.050, 0.521] (p=0.453)","0.401 [0.234, 0.679] (p=0.389)","0.000 [0.000, 2.000] (p=9.116e-02)","0.000 [0.000, 0.000] (p=1.068e-21)",8.897e-02
