,ROC AUC,Average Precision,N features,CVS
STABL,"0.760 [0.495, 0.990]","0.852 [0.634, 0.982]","8.000 [5.750, 8.250]","0.667 [0.571, 0.800]"
SS 03,"0.580 [0.293, 0.850] (p=0.071)","0.535 [0.325, 0.870] (p=0.005)","4.000 [3.000, 4.000] (p=3.454e-07)","0.500 [0.400, 0.600] (p=9.509e-17)"
SS 05,"0.315 [0.160, 0.450] (p=0.002)","0.430 [0.225, 0.659] (p=0.0)","0.000 [0.000, 0.000] (p=2.224e-08)","0.000 [0.000, 0.000] (p=1.448e-69)"
SS 08,"0.500 [0.500, 0.500] (p=0.05)","0.500 [0.300, 0.700] (p=0.003)","0.000 [0.000, 0.000] (p=7.329e-09)","0.000 [0.000, 0.000] (p=1.120e-72)"
Lasso,"0.890 [0.717, 1.000] (p=0.18)","0.892 [0.668, 1.000] (p=0.325)","17.000 [16.000, 18.000] (p=5.979e-08)","0.667 [0.560, 0.726] (p=5.832e-02)"
Lasso 1SE,"0.890 [0.708, 1.000] (p=0.168)","0.923 [0.759, 1.000] (p=0.25)","18.000 [16.750, 18.250] (p=5.894e-08)","0.650 [0.565, 0.726] (p=3.557e-02)"
ElasticNet,"0.910 [0.747, 1.000] (p=0.167)","0.937 [0.782, 1.000] (p=0.218)","76.000 [60.000, 105.500] (p=6.331e-08)","0.588 [0.486, 0.696] (p=4.548e-08)"
