,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,0.2567507,0.062063293,0.0,0.0,0.516663539,0.455227526,0.41468933,0.272790389,0.008198739,6.17e-05,0.108293255
1330,0.238426932,0.017350891,0.0,0.0,0.259263905,0.716013716,0.368389764,0.125999449,0.0,0.0,0.045038257
1331,0.310066776,0.037814191,0.0,0.0,0.638025131,0.37415858,0.395306087,0.149567918,0.0,0.0,0.02724475
1337,0.210534807,0.019669197,0.0,0.0,0.200688645,0.846096452,0.31981754,0.178038399,0.0,0.0,0.069962707
1357,0.24058296,0.005078775,0.0,0.0,0.253289157,0.538438144,0.22991516,0.207967237,0.0,0.0,0.080689465
1377,0.066945997,0.036863471,0.0,0.0,0.706269696,0.0,0.214132937,0.194439722,0.072404014,0.0,0.034882954
1381,0.064472698,0.0,0.0,0.0,0.089720178,0.0,0.186795061,0.184282901,0.0,0.0,0.0
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.12682288,0.123541775,0.0,0.0,0.0
1414,0.075372169,0.0,0.0,0.0,0.273882642,0.0,0.260199436,0.225764166,0.0,0.0,0.0
1418,0.048715903,0.032487133,0.0,0.0,0.0,0.0,0.25806374,0.314678034,0.0,0.0,0.010412811
1427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1431,0.0,0.0,0.0,0.0,0.0,0.006234721,0.032438326,0.013222256,0.0,0.0,0.0
1464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1469,0.030286426,0.0,0.0,0.0,0.007212,0.058870857,0.122186493,0.066102081,0.0,0.0,0.0
1472,0.0,0.000182927,0.0,0.0,0.033763889,0.163868524,0.167728992,0.270275044,0.0,0.0,0.0
1473,0.077231563,0.0,0.0,0.0,0.10286124,0.185049352,0.141820831,0.189945082,0.0,0.0,0.0
1475,0.0,0.0,0.0,0.0,0.0,0.0,0.094040417,0.0608261,0.0,0.0,0.0
1480,0.0,0.0,0.0,0.0,0.0,0.139872756,0.07438566,0.01257008,0.0,0.0,0.0
1488,0.095695074,0.019091636,0.0,0.0,0.128295515,0.171908231,0.237683929,0.295833287,0.0,0.0,0.0
