,Associated weight
NKT_predictions,9.089507420728506
CD62LnAgedNeutrophils_predictions,8.942435680971402
CD8Tnaive_predictions,8.668971331184622
CD56brightCD16nNKcells_predictions,8.523489155738053
Th1mem_predictions,8.502126027545343
CCR2pcMC_predictions,8.396806070685283
CD4Trm_predictions,8.300229740536048
CD61pCD41pPLT_predictions,7.455343044829503
CD62LpImmatureNeutrophils_predictions,6.96013971460427
Th1naive_predictions,6.73262492666678
gdTcells_predictions,5.361654902102987
CD8Trm_predictions,4.860569551585565
intMC_predictions,4.501773391586311
mDC_predictions,4.242840262627117
CD41hiCD61hiPLT_predictions,3.8866114291362397
CD56dimCD16pNKcells_predictions,3.1817177392078255
MDSC_predictions,2.9892600965164817
CD8Tcm_predictions,2.856424416822149
CCR2nncMC_predictions,2.7374515987613313
Tregnaive_predictions,2.6202289530727496
CD8Tem_predictions,1.7352505759182235
CD4Tcm_predictions,1.3509665510504187
CD4Tem_predictions,1.1637363309950155
Tregmem_predictions,0.9757354592470546
Bcells_predictions,0.8735571775552919
pDC_predictions,0.46786436515560026
CD4Tnaive_predictions,0.09851737518390635
