,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.160 [0.010, 0.333]","0.373 [0.212, 0.614]","2.000 [0.000, 3.000]","0.000 [0.000, 0.500]",9.670e-03
SS 03,"0.500 [0.240, 0.791] (p=0.022)","0.538 [0.313, 0.847] (p=0.126)","7.000 [7.000, 7.000] (p=3.209e-75)","1.000 [1.000, 1.000] (p=0.000e+00)",1.000e+00
SS 05,"0.150 [0.000, 0.400] (p=0.493)","0.385 [0.229, 0.672] (p=0.461)","5.000 [5.000, 5.000] (p=2.851e-68)","1.000 [0.833, 1.000] (p=0.000e+00)",9.108e-03
SS 08,"0.110 [0.000, 0.340] (p=0.366)","0.376 [0.202, 0.643] (p=0.513)","3.000 [2.000, 3.000] (p=1.676e-07)","0.667 [0.667, 1.000] (p=0.000e+00)",3.611e-03
Lasso,"0.335 [0.104, 0.604] (p=0.148)","0.458 [0.250, 0.753] (p=0.138)","7.000 [0.000, 8.000] (p=8.202e-07)","0.000 [0.000, 0.875] (p=1.457e-04)",2.114e-01
Lasso 1SE,"0.335 [0.125, 0.571] (p=0.151)","0.458 [0.262, 0.749] (p=0.124)","7.000 [0.000, 8.000] (p=8.202e-07)","0.000 [0.000, 0.875] (p=1.457e-04)",2.114e-01
ElasticNet,"0.360 [0.130, 0.627] (p=0.121)","0.443 [0.265, 0.753] (p=0.136)","0.000 [0.000, 0.000] (p=1.253e-13)","0.000 [0.000, 0.000] (p=0.000e+00)",3.075e-01
