,ROC AUC,Average Precision,N features,CVS
STABL,"0.220 [0.030, 0.451]","0.392 [0.225, 0.669]","2.000 [1.750, 3.000]","0.500 [0.000, 0.750]"
SS 03,"0.380 [0.143, 0.660] (p=0.154)","0.455 [0.249, 0.799] (p=0.26)","5.000 [5.000, 5.000] (p=1.675e-57)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.340 [0.099, 0.616] (p=0.218)","0.441 [0.258, 0.745] (p=0.33)","5.000 [4.750, 5.000] (p=2.085e-54)","1.000 [0.800, 1.000] (p=0.000e+00)"
SS 08,"0.150 [0.000, 0.354] (p=0.176)","0.362 [0.210, 0.593] (p=0.118)","3.000 [3.000, 3.000] (p=1.675e-17)","1.000 [1.000, 1.000] (p=0.000e+00)"
Lasso,"0.405 [0.273, 0.500] (p=0.114)","0.476 [0.269, 0.700] (p=0.047)","0.000 [0.000, 0.000] (p=6.865e-45)","0.000 [0.000, 0.000] (p=0.000e+00)"
Lasso 1SE,"0.450 [0.333, 0.500] (p=0.062)","0.500 [0.300, 0.700] (p=0.019)","0.000 [0.000, 0.000] (p=1.685e-47)","0.000 [0.000, 0.000] (p=0.000e+00)"
ElasticNet,"0.540 [0.242, 0.824] (p=0.065)","0.640 [0.381, 0.895] (p=0.026)","0.000 [0.000, 0.000] (p=2.609e-57)","0.000 [0.000, 0.000] (p=0.000e+00)"
