,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.820 [0.596, 0.989]","0.876 [0.655, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]",1.726e-02
SS 03,"0.440 [0.179, 0.719] (p=0.012)","0.483 [0.287, 0.828] (p=0.02)","7.000 [7.000, 8.000] (p=1.973e-78)","0.875 [0.857, 1.000] (p=0.000e+00)",6.771e-01
SS 05,"0.690 [0.444, 0.906] (p=0.011)","0.773 [0.518, 0.941] (p=0.008)","3.000 [2.000, 3.000] (p=4.258e-66)","0.500 [0.333, 0.667] (p=0.000e+00)",1.620e-01
SS 08,"0.820 [0.576, 1.000] (p=1.0)","0.876 [0.701, 1.000] (p=1.0)","1.000 [1.000, 1.000] (p=1.000e+00)","1.000 [1.000, 1.000] (p=1.000e+00)",1.726e-02
Lasso,"0.880 [0.677, 1.000] (p=0.252)","0.905 [0.731, 1.000] (p=0.338)","1.000 [1.000, 1.000] (p=1.000e+00)","1.000 [1.000, 1.000] (p=1.000e+00)",4.586e-03
Lasso 1SE,"0.900 [0.729, 1.000] (p=0.226)","0.916 [0.744, 1.000] (p=0.353)","1.000 [1.000, 1.000] (p=1.000e+00)","1.000 [1.000, 1.000] (p=1.000e+00)",2.827e-03
ElasticNet,"0.830 [0.604, 1.000] (p=0.45)","0.877 [0.692, 0.986] (p=0.491)","1.000 [1.000, 1.000] (p=1.000e+00)","1.000 [1.000, 1.000] (p=1.000e+00)",1.402e-02
