,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.450 [0.333, 0.500]","0.500 [0.300, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",3.681e-01
SS 03,"0.270 [0.081, 0.542] (p=0.123)","0.402 [0.238, 0.710] (p=0.075)","6.000 [6.000, 6.000] (p=7.974e-85)","1.000 [1.000, 1.000] (p=0.000e+00)",8.897e-02
SS 05,"0.270 [0.081, 0.535] (p=0.115)","0.402 [0.241, 0.682] (p=0.081)","6.000 [6.000, 6.000] (p=7.974e-85)","1.000 [1.000, 1.000] (p=0.000e+00)",8.897e-02
SS 08,"0.560 [0.280, 0.840] (p=0.246)","0.560 [0.359, 0.905] (p=0.274)","1.000 [1.000, 1.000] (p=4.543e-50)","1.000 [0.000, 1.000] (p=0.000e+00)",6.771e-01
Lasso,"0.225 [0.061, 0.434] (p=0.037)","0.381 [0.216, 0.646] (p=0.015)","2.000 [0.000, 3.000] (p=5.386e-30)","0.000 [0.000, 0.500] (p=0.000e+00)",3.497e-02
Lasso 1SE,"0.225 [0.055, 0.455] (p=0.033)","0.381 [0.218, 0.652] (p=0.011)","2.000 [0.000, 3.000] (p=5.074e-29)","0.000 [0.000, 0.667] (p=0.000e+00)",3.497e-02
ElasticNet,"0.230 [0.053, 0.469] (p=0.056)","0.387 [0.222, 0.664] (p=0.016)","3.000 [0.000, 3.000] (p=2.435e-39)","0.000 [0.000, 0.750] (p=0.000e+00)",4.515e-02
