,ROC AUC,Average Precision,N features,CVS
STABL,"0.500 [0.230, 0.791]","0.540 [0.323, 0.873]","2.000 [0.750, 2.000]","0.500 [0.000, 1.000]"
SS 03,"0.540 [0.280, 0.824] (p=0.131)","0.573 [0.353, 0.902] (p=0.131)","2.000 [2.000, 2.000] (p=4.978e-20)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.540 [0.264, 0.833] (p=0.125)","0.573 [0.331, 0.898] (p=0.136)","2.000 [2.000, 2.000] (p=4.978e-20)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.540 [0.260, 0.830] (p=0.121)","0.573 [0.331, 0.916] (p=0.109)","2.000 [2.000, 2.000] (p=4.978e-20)","1.000 [1.000, 1.000] (p=0.000e+00)"
Lasso,"0.440 [0.160, 0.720] (p=0.194)","0.536 [0.285, 0.838] (p=0.464)","2.000 [0.750, 2.000] (p=4.306e-01)","0.500 [0.000, 1.000] (p=9.557e-11)"
Lasso 1SE,"0.440 [0.176, 0.748] (p=0.184)","0.536 [0.306, 0.831] (p=0.479)","2.000 [0.750, 2.000] (p=4.506e-01)","0.500 [0.000, 1.000] (p=1.137e-07)"
ElasticNet,"0.390 [0.154, 0.660] (p=0.193)","0.453 [0.263, 0.764] (p=0.18)","2.000 [0.750, 2.000] (p=1.000e+00)","0.500 [0.000, 1.000] (p=1.000e+00)"
