,Fold selected features,Fold nb of features
Fold 89,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 90,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 91,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 92,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 93,"['CREB', 'S6', 'NFkB']",3
Fold 94,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 95,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 96,"['CREB', 'STAT3', 'S6']",3
Fold 97,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 98,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 99,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 100,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 101,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 102,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 103,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 104,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 105,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 106,"['CREB', 'S6', 'IkB']",3
Fold 107,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 108,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 109,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 110,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 111,"['Frequency', 'CREB', 'STAT3', 'IkB', 'NFkB']",5
Fold 112,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 113,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 114,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 115,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 116,"['CREB', 'S6', 'NFkB']",3
Fold 117,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 118,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 119,"['CREB', 'STAT3', 'S6']",3
Fold 120,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 121,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 122,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 123,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 124,"['CREB', 'S6', 'IkB']",3
Fold 125,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 126,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 127,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 128,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 129,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 130,"['CREB', 'STAT3', 'S6']",3
Fold 131,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 132,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 133,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 134,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 135,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 136,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 137,"['Frequency', 'CREB', 'STAT3', 'IkB', 'NFkB']",5
Fold 138,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 139,"['CREB', 'S6', 'NFkB']",3
Fold 140,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 141,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 142,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 143,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 144,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 145,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 146,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 147,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 148,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 149,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 150,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 151,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 152,"['CREB', 'S6', 'NFkB']",3
Fold 153,"['CREB', 'S6', 'IkB']",3
Fold 154,"['Frequency', 'CREB', 'STAT3', 'IkB', 'NFkB']",5
Fold 155,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 156,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 157,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 158,"['CREB', 'STAT3', 'S6']",3
Fold 159,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 160,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 161,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 162,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 163,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 164,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 165,"['CREB', 'S6', 'IkB']",3
Fold 166,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 167,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 168,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 169,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 170,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 171,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 172,"['Frequency', 'CREB', 'STAT3', 'IkB', 'NFkB']",5
Fold 173,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 174,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 175,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 176,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 177,"['CREB', 'STAT3', 'S6']",3
Fold 178,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 179,"['CREB', 'S6', 'NFkB']",3
Fold 180,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 181,"['CREB', 'S6', 'IkB']",3
Fold 182,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 183,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 184,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 185,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 186,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 187,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 188,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 189,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 190,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 191,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 192,"['CREB', 'S6', 'IkB', 'NFkB']",4
Fold 193,"['CREB', 'STAT3', 'S6']",3
Fold 194,"['CREB', 'STAT3', 'S6', 'NFkB']",4
Fold 195,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 196,"['CREB', 'S6', 'NFkB']",3
Fold 197,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
Fold 198,"['Frequency', 'CREB', 'STAT3', 'IkB', 'NFkB']",5
Fold 199,"['CREB', 'STAT3', 'S6', 'IkB', 'NFkB']",5
