,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.840 [0.616, 1.000]","0.761 [0.534, 1.000]","2.000 [1.000, 3.000]","0.667 [0.333, 1.000]",1.133e-02
SS 03,"0.790 [0.527, 1.000] (p=0.298)","0.742 [0.495, 1.000] (p=0.279)","3.000 [3.000, 3.000] (p=3.566e-32)","1.000 [1.000, 1.000] (p=0.000e+00)",3.121e-02
SS 05,"0.790 [0.520, 1.000] (p=0.278)","0.742 [0.512, 1.000] (p=0.258)","3.000 [3.000, 3.000] (p=3.566e-32)","1.000 [1.000, 1.000] (p=0.000e+00)",3.121e-02
SS 08,"0.740 [0.472, 0.941] (p=0.14)","0.795 [0.529, 0.960] (p=0.399)","2.500 [2.000, 3.000] (p=3.078e-05)","0.667 [0.667, 1.000] (p=0.000e+00)",7.566e-02
Lasso,"0.730 [0.455, 0.980] (p=0.187)","0.832 [0.594, 0.980] (p=0.512)","1.000 [1.000, 3.000] (p=2.104e-01)","0.333 [0.333, 1.000] (p=1.011e-09)",8.897e-02
Lasso 1SE,"0.730 [0.455, 0.960] (p=0.163)","0.832 [0.625, 0.977] (p=0.475)","1.000 [1.000, 3.000] (p=5.849e-02)","0.500 [0.333, 1.000] (p=2.288e-08)",8.897e-02
ElasticNet,"0.700 [0.434, 0.939] (p=0.098)","0.791 [0.524, 0.967] (p=0.511)","1.000 [1.000, 3.000] (p=9.810e-02)","0.333 [0.333, 1.000] (p=1.993e-36)",1.405e-01
