,STAT5,S6,p38,STAT1,STAT3,STAT6,IkB,NFkB,ERK,CREB,MAPKAPK2,Frequency
1326,-0.025947345999999982,0.00033791500000002195,-0.03331342,0.0,0.313136489,0.037723927,0.06539159299999997,0.10663832200000001,-0.018440717000000002,-0.07121880800000002,0.03342767400000002,-0.17489504700000003
1330,-0.097103677,-0.037940995000000005,0.0,0.0,-0.029598288,0.018163964,-0.1313676319999999,-0.02992573600000001,0.085724776,0.05661483899999997,0.016987399999999986,0.05099622300000001
1331,0.04866245499999999,-0.055775640000000015,0.0,0.0,0.203407706,0.036013861,0.03581876900000003,0.08257039300000002,-0.045445989,0.03505617799999999,-0.22030557,0.118429857
1337,0.0016820150000000367,-0.014968611999999992,0.037645200999999996,0.0,-0.028851579999999988,-0.009857906999999999,0.0411852909999999,-0.03227028999999998,0.007437626000000003,0.12263683600000003,0.06400445299999996,0.167354824
1357,-0.024292486000000002,-0.10237260199999998,0.0,0.0,-0.011944907000000005,-0.018863320000000003,0.1470500669999999,0.019627812999999994,0.031402135,0.089912985,0.03583160299999999,0.026537489999999997
1377,-0.11058399699999999,0.161710631,-0.027815278,0.0,0.4441019829999999,-0.116291893,-0.10832980500000011,-0.261300782,-0.08404434799999999,-0.22770710100000002,-0.36225880099999996,0.020074475
1381,0.05950830199999996,0.09341864,0.0,0.0,0.12457200400000001,0.017479385,-0.009555205000000067,0.03605323199999999,0.0,0.18556626499999995,-0.09887486700000003,0.044362701000000004
1400,0.043422145999999995,0.06549185399999999,0.0,0.0,0.03991176,-0.024050913,-0.06879562999999989,-0.07532773499999998,0.0,-0.28227505799999997,0.06818222600000001,-0.019212429000000003
1414,-0.10506919399999998,-0.23653859400000005,-1.130424112,0.0,0.022561656000000013,-0.013624131999999997,-0.5779110470000002,-0.5561588820000001,-0.037886685,-0.5199245759999999,-0.710383968,-0.023973097
1418,0.08001636899999998,-0.010057748000000033,0.006888036,0.0,0.0,0.103689384,-0.0010316709999997897,-0.082405326,-0.014159852,-0.04406913599999995,-0.29454732299999997,-0.010597544
1427,0.03463419200000001,-0.15079321700000003,-0.020453645,0.0,0.182861713,0.019044841,0.14227921899999996,0.039141533000000006,-0.0025277310000000053,-0.015947140000000026,0.23239933200000001,-0.046545158
1428,-0.04208288199999999,0.03958564899999997,0.0,0.0,0.12647406,0.022089729,0.05128768500000014,0.067923971,0.015026878,0.11414908899999998,-0.034724856000000026,0.15038651600000003
1431,-0.0015004210000000295,-0.05143564300000003,-0.004629826,0.0,-0.132056675,0.10083700100000001,-0.173342023,-0.15609163400000003,-0.053133386,0.10875970899999998,-0.333329063,-0.010789589000000002
1464,0.075946656,0.07613894900000001,-0.009681972,0.0,0.073752153,0.025841467,0.004629034000000143,-0.04370100399999999,-0.017356101,0.3923347509999999,0.04252137500000003,0.08804781699999997
1469,0.07460176099999999,0.061052300000000004,0.072199956,0.0,-0.396685629,0.005588783999999999,0.03791451000000001,-0.095567878,-0.044425821,0.06416892799999996,-0.024576344000000028,-0.013598086999999995
1472,-0.041106050000000005,0.09531801699999998,0.062759828,0.0,0.16874719500000002,0.0,0.08407687200000002,0.054571908999999974,0.028082829,0.21907508700000006,0.073712795,0.09109332399999998
1473,0.10857454900000002,-0.00545472800000002,0.0,0.0,-0.110405049,0.06246884,0.004599679999999884,-0.08154382899999998,0.0,0.11099425799999996,-0.01790731499999998,-0.0017722039999999994
1475,0.05109171600000001,0.10049022099999999,0.014227555,0.0,-0.06304685500000001,0.0,0.1599103879999999,-0.10888606700000003,0.026329383,-0.14649249599999997,0.11475593699999992,0.12553962600000002
1480,-0.043925152999999995,0.045609096000000016,-0.00010444099999999998,0.0,0.070702051,-0.014247946,0.06052333200000004,-0.058547862000000006,-0.007385658,-0.036252286999999994,-0.0005193439999999772,-0.09775740100000002
1488,-0.058025993,-0.156857888,-0.075854945,0.0,0.137120531,0.0028565279999999997,-0.05191552500000007,-0.0035379730000000276,0.015845372000000003,-0.2766227479999999,-0.14141028899999997,0.090380987
