,ROC AUC,Average Precision,N features,CVS
STABL,"0.420 [0.195, 0.667]","0.518 [0.255, 0.766]","1.000 [0.000, 7.000]","0.000 [0.000, 0.143]"
SS 03,"0.310 [0.083, 0.594] (p=0.144)","0.432 [0.247, 0.753] (p=0.107)","8.000 [8.000, 8.000] (p=6.627e-52)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.310 [0.081, 0.596] (p=0.14)","0.432 [0.251, 0.723] (p=0.093)","8.000 [8.000, 8.000] (p=2.586e-42)","1.000 [0.875, 1.000] (p=0.000e+00)"
SS 08,"0.460 [0.203, 0.737] (p=0.401)","0.574 [0.347, 0.809] (p=0.219)","1.000 [0.000, 1.000] (p=9.543e-05)","0.000 [0.000, 0.000] (p=3.875e-41)"
Lasso,"0.210 [0.077, 0.360] (p=0.051)","0.430 [0.238, 0.656] (p=0.104)","0.000 [0.000, 1.250] (p=2.244e-07)","0.000 [0.000, 0.000] (p=0.000e+00)"
Lasso 1SE,"0.210 [0.081, 0.364] (p=0.062)","0.430 [0.223, 0.685] (p=0.125)","0.000 [0.000, 1.250] (p=2.244e-07)","0.000 [0.000, 0.000] (p=0.000e+00)"
ElasticNet,"0.350 [0.111, 0.626] (p=0.321)","0.432 [0.262, 0.740] (p=0.188)","0.000 [0.000, 1.000] (p=3.096e-09)","0.000 [0.000, 0.000] (p=0.000e+00)"
