,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,0.0,0.01138389,0.0,0.0,0.0,0.002057073,0.11644536,0.07601384,0.0,0.0,0.0
1330,0.038408859,0.037791536,0.06769837,0.0,0.0,0.053019711,0.109068433,0.107319057,0.0,0.0,0.002184286
1331,0.079089103,0.06299123,0.121863649,0.0,0.0,0.067288566,0.095650672,0.080329793,0.0,0.0,0.07368196
1337,0.0,0.0,0.0,0.0,0.0,0.0,0.178444725,0.12014919,0.0,0.0,0.0
1357,0.002540054,0.019707769,0.245302061,0.0,0.0,0.044460879,0.142532151,0.057356626,0.0,0.0,0.123898949
1377,0.0,0.0309696,0.0,0.0,0.076943117,0.04529794,0.137718849,0.106488176,0.0,0.0,0.0
1381,0.0,0.0,0.091772944,0.0,0.0,0.0,0.142086301,0.06740314,0.0,0.0,0.0
1400,0.0,0.0,0.12350083,0.0,0.0,0.011096645,0.110466972,0.086428001,0.0,0.0,0.0
1414,0.117301976,0.121839291,0.6551535,0.0,0.0,0.146728752,0.196591474,0.422890016,0.0,0.055610362,0.374647211
1418,0.131801961,0.123800949,0.396532234,0.0,0.0,0.078054403,0.109963033,0.159767547,0.0,0.0,0.292418652
1427,0.046087371,0.031281759,0.518391011,0.0,0.0,0.113456135,0.155528939,0.121133879,0.0,0.0,0.324589585
1428,0.0,0.0,0.0,0.0,0.0,0.029395489,0.056911956,0.054995038,0.0,0.0,0.0
1431,0.0,0.010974636,0.0,0.0,0.053121321,0.016952488,0.067175831,0.08323588,0.0,0.0,0.0
1464,0.0,0.058340107,0.114530115,0.0,0.0,0.040868492,0.104943567,0.109573292,0.0,0.0,0.013371976
1469,0.0,0.0,0.001474322,0.0,0.0,0.038517168,0.066083108,0.054515645,0.0,0.0,0.0
1472,0.0,0.0,0.0,0.0,0.0,0.139442276,0.109202388,0.072112676,0.0,0.0,0.0
1473,0.0,0.0,0.0,0.0,0.0,0.097826181,0.113826342,0.098823014,0.0,0.0,0.0
1475,0.0,0.0,0.0,0.0,0.0,0.1166098,0.074543184,0.052100655,0.0,0.0,0.0
1480,0.0,0.048855682,0.099952909,0.0,0.0,0.222275206,0.137547809,0.116842116,0.0,0.0,0.0
1488,0.0,0.029258389,0.178895055,0.0,0.0,0.203451734,0.073840922,0.13589751,0.0,0.0,0.07435273
