,Spearman corr,pvalue
S6,0.5722925798859192,0.008367729672599723
MAPKAPK2,-0.3295017884191656,0.1559933352870714
STAT3,0.22544859207627121,0.3392245168854384
ERK,-0.22544859207627121,0.3392245168854384
IkB,0.1907641932953064,0.42045602297364715
STAT5,-0.1387375951238592,0.5596674186533706
CREB,0.0693687975619296,0.7713562200019073
STAT6,-0.0346843987809648,0.8845776882078991
NFkB,0.0173421993904824,0.9421499835467455
Frequency,0.0173421993904824,0.9421499835467455
p38,0.016643566632465155,0.9444769651455183
STAT1,,
