,ROC AUC,Average Precision,N features,CVS
STABL,"0.700 [0.394, 0.980]","0.821 [0.548, 0.967]","1.000 [1.000, 1.250]","0.400 [0.000, 1.000]"
SS 03,"0.500 [0.232, 0.781] (p=0.002)","0.563 [0.328, 0.874] (p=0.003)","5.000 [5.000, 5.000] (p=1.837e-64)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.500 [0.229, 0.786] (p=0.003)","0.563 [0.318, 0.870] (p=0.005)","5.000 [5.000, 5.000] (p=1.837e-64)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.490 [0.231, 0.740] (p=0.03)","0.582 [0.320, 0.830] (p=0.027)","1.000 [0.000, 1.000] (p=1.890e-07)","0.000 [0.000, 0.500] (p=0.000e+00)"
Lasso,"0.790 [0.566, 0.960] (p=0.19)","0.838 [0.635, 0.976] (p=0.457)","2.000 [1.000, 2.000] (p=1.595e-14)","1.000 [0.500, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.840 [0.606, 0.970] (p=0.107)","0.860 [0.661, 0.988] (p=0.437)","1.000 [1.000, 2.000] (p=8.452e-04)","1.000 [0.500, 1.000] (p=0.000e+00)"
ElasticNet,"0.780 [0.530, 0.960] (p=0.218)","0.839 [0.626, 0.974] (p=0.467)","2.000 [2.000, 2.000] (p=8.324e-26)","1.000 [1.000, 1.000] (p=0.000e+00)"
