,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.635 [0.323, 0.918]","0.775 [0.522, 0.950]","1.500 [1.000, 3.000]","0.500 [0.333, 1.000]",3.256e-01
SS 03,"0.510 [0.240, 0.792] (p=0.187)","0.545 [0.333, 0.882] (p=0.127)","6.000 [6.000, 6.000] (p=1.417e-73)","1.000 [0.833, 1.000] (p=0.000e+00)",9.698e-01
SS 05,"0.650 [0.374, 0.896] (p=0.453)","0.768 [0.527, 0.938] (p=0.475)","5.000 [4.000, 5.000] (p=2.048e-67)","0.800 [0.800, 1.000] (p=0.000e+00)",2.730e-01
SS 08,"0.740 [0.434, 0.969] (p=0.061)","0.840 [0.612, 0.979] (p=0.068)","1.000 [1.000, 1.000] (p=9.919e-18)","1.000 [1.000, 1.000] (p=0.000e+00)",7.566e-02
Lasso,"0.650 [0.374, 0.896] (p=0.426)","0.708 [0.411, 0.953] (p=0.193)","1.000 [1.000, 1.000] (p=3.294e-05)","1.000 [0.333, 1.000] (p=0.000e+00)",2.730e-01
Lasso 1SE,"0.660 [0.375, 0.907] (p=0.429)","0.664 [0.402, 0.944] (p=0.103)","1.000 [1.000, 1.000] (p=3.294e-05)","1.000 [0.333, 1.000] (p=0.000e+00)",2.413e-01
ElasticNet,"0.680 [0.406, 0.917] (p=0.345)","0.769 [0.519, 0.948] (p=0.426)","1.000 [1.000, 1.000] (p=3.389e-06)","1.000 [0.500, 1.000] (p=0.000e+00)",1.859e-01
