,Spearman corr,pvalue
S6,0.6243191780573664,0.0032574448324736204
STAT5,0.43830843673637604,0.053227263597375285
ERK,-0.2303502213799586,0.3285443092231325
STAT3,-0.22941573387056172,0.3305649312781844
STAT6,0.22941573387056172,0.3305649312781844
CREB,0.1213953957333768,0.6101689948464966
NFkB,-0.1213953957333768,0.6101689948464966
p38,0.11396057645963793,0.6323691194635712
MAPKAPK2,0.08671099695241198,0.7162313833164182
Frequency,-0.0693687975619296,0.7713562200019073
IkB,-0.052026598171447204,0.827557337051562
STAT1,,
