,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.840 [0.626, 1.000]","0.761 [0.508, 1.000]","2.000 [1.000, 3.000]","0.667 [0.333, 1.000]",1.133e-02
SS 03,"0.790 [0.549, 1.000] (p=0.274)","0.742 [0.484, 1.000] (p=0.251)","3.000 [3.000, 3.000] (p=3.566e-32)","1.000 [1.000, 1.000] (p=0.000e+00)",3.121e-02
SS 05,"0.790 [0.527, 1.000] (p=0.301)","0.742 [0.490, 1.000] (p=0.28)","3.000 [3.000, 3.000] (p=3.566e-32)","1.000 [1.000, 1.000] (p=0.000e+00)",3.121e-02
SS 08,"0.740 [0.430, 0.939] (p=0.132)","0.795 [0.510, 0.967] (p=0.415)","2.500 [2.000, 3.000] (p=3.078e-05)","0.667 [0.667, 1.000] (p=0.000e+00)",7.566e-02
Lasso,"0.730 [0.475, 0.978] (p=0.18)","0.832 [0.596, 0.973] (p=0.503)","1.000 [1.000, 3.000] (p=2.104e-01)","0.333 [0.333, 1.000] (p=1.011e-09)",8.897e-02
Lasso 1SE,"0.730 [0.437, 0.990] (p=0.163)","0.832 [0.625, 0.976] (p=0.515)","1.000 [1.000, 3.000] (p=5.849e-02)","0.500 [0.333, 1.000] (p=2.288e-08)",8.897e-02
ElasticNet,"0.700 [0.429, 0.950] (p=0.103)","0.791 [0.525, 0.960] (p=0.502)","1.000 [1.000, 3.000] (p=9.810e-02)","0.333 [0.333, 1.000] (p=1.993e-36)",1.405e-01
