,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.340 [0.120, 0.609]","0.431 [0.241, 0.716]","1.500 [0.000, 2.000]","0.000 [0.000, 0.333]",2.261e-01
SS 03,"0.340 [0.100, 0.615] (p=0.517)","0.456 [0.281, 0.771] (p=0.448)","5.000 [5.000, 5.000] (p=6.562e-69)","0.833 [0.667, 1.000] (p=0.000e+00)",2.413e-01
SS 05,"0.380 [0.140, 0.657] (p=0.399)","0.505 [0.270, 0.776] (p=0.29)","3.000 [3.000, 3.000] (p=2.324e-56)","0.750 [0.500, 1.000] (p=0.000e+00)",3.847e-01
SS 08,"0.570 [0.297, 0.820] (p=0.04)","0.679 [0.403, 0.884] (p=0.018)","2.000 [2.000, 2.000] (p=1.442e-13)","0.667 [0.333, 1.000] (p=0.000e+00)",6.232e-01
Lasso,"0.530 [0.260, 0.800] (p=0.038)","0.634 [0.368, 0.871] (p=0.006)","3.000 [2.000, 3.000] (p=9.637e-31)","0.667 [0.500, 0.750] (p=0.000e+00)",8.501e-01
Lasso 1SE,"0.520 [0.240, 0.823] (p=0.052)","0.631 [0.348, 0.875] (p=0.007)","3.000 [2.000, 3.000] (p=3.067e-28)","0.667 [0.500, 0.750] (p=0.000e+00)",9.097e-01
ElasticNet,"0.540 [0.273, 0.800] (p=0.039)","0.618 [0.355, 0.880] (p=0.011)","3.000 [2.750, 3.250] (p=2.553e-37)","0.667 [0.500, 0.750] (p=0.000e+00)",7.913e-01
