,ROC AUC,Average Precision,N features,CVS
STABL,"0.470 [0.273, 0.672]","0.532 [0.263, 0.766]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
SS 03,"0.720 [0.444, 0.956] (p=0.085)","0.812 [0.617, 0.958] (p=0.016)","14.500 [13.000, 16.000] (p=2.823e-08)","0.526 [0.450, 0.588] (p=6.383e-67)"
SS 05,"0.720 [0.450, 0.941] (p=0.062)","0.812 [0.566, 0.962] (p=0.019)","14.500 [13.000, 16.000] (p=2.819e-08)","0.526 [0.450, 0.600] (p=5.443e-67)"
SS 08,"0.680 [0.427, 0.899] (p=0.119)","0.770 [0.495, 0.939] (p=0.035)","14.000 [12.750, 15.250] (p=2.806e-08)","0.526 [0.450, 0.611] (p=4.973e-67)"
Lasso,"0.500 [0.187, 0.810] (p=0.43)","0.697 [0.422, 0.889] (p=0.08)","7.000 [4.000, 11.250] (p=1.209e-04)","0.357 [0.250, 0.500] (p=4.004e-63)"
Lasso 1SE,"0.540 [0.260, 0.818] (p=0.314)","0.709 [0.415, 0.907] (p=0.057)","6.500 [2.750, 11.250] (p=1.108e-04)","0.257 [0.091, 0.385] (p=7.674e-47)"
ElasticNet,"0.590 [0.286, 0.880] (p=0.195)","0.749 [0.519, 0.934] (p=0.037)","12.000 [10.000, 15.250] (p=6.743e-07)","0.417 [0.333, 0.533] (p=1.755e-64)"
