,Spearman corr,pvalue
S6,0.520265981714472,0.018692511424373982
STAT6,-0.3328713326493031,0.15155241782202525
STAT3,-0.322971120733087,0.16485554681886952
Frequency,0.17342199390482396,0.4646587776970642
ERK,-0.1667667796603486,0.4822258207141188
STAT5,-0.10405319634289441,0.6624265026477676
CREB,-0.08671099695241198,0.7162313833164182
NFkB,0.0693687975619296,0.7713562200019073
IkB,0.052026598171447204,0.827557337051562
MAPKAPK2,0.0346843987809648,0.8845776882078991
p38,,
STAT1,,
