,Spearman corr,pvalue
S6,-0.5549503804954368,0.011092407862489932
NFkB,-0.3988705859810952,0.08149251949014447
p38,-0.3905498468561695,0.08865932553143627
Frequency,-0.2427907914667536,0.3023454554274212
STAT3,-0.1907641932953064,0.42045602297364715
CREB,-0.1387375951238592,0.5596674186533706
STAT5,-0.1387375951238592,0.5596674186533706
STAT6,0.1387375951238592,0.5596674186533706
ERK,0.1213953957333768,0.6101689948464966
MAPKAPK2,-0.10405319634289441,0.6624265026477676
IkB,0.08671099695241198,0.7162313833164182
STAT1,,
