,Spearman corr,pvalue
STAT5,-0.5722925798859192,0.008367729672599723
STAT6,-0.43355498476205995,0.056166935591136946
NFkB,-0.3815283865906128,0.09694244809397427
ERK,-0.33830009251541265,0.1445838832795454
MAPKAPK2,-0.2948173896382008,0.20700547241122197
CREB,-0.2427907914667536,0.3023454554274212
Frequency,-0.22544859207627121,0.3392245168854384
p38,-0.20810639268578882,0.3786152471949078
S6,-0.1560797945143416,0.5111092083782216
IkB,-0.1560797945143416,0.5111092083782216
STAT3,0.0173421993904824,0.9421499835467455
STAT1,,
