,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.780 [0.549, 0.958]","0.813 [0.576, 0.976]","3.500 [2.000, 7.000]","0.500 [0.286, 0.714]",3.764e-02
SS 03,"0.720 [0.463, 0.950] (p=0.291)","0.647 [0.381, 0.964] (p=0.204)","7.000 [7.000, 7.000] (p=2.019e-42)","1.000 [1.000, 1.000] (p=0.000e+00)",1.015e-01
SS 05,"0.820 [0.581, 0.990] (p=0.391)","0.767 [0.506, 1.000] (p=0.442)","6.000 [4.000, 6.000] (p=4.957e-08)","0.833 [0.667, 1.000] (p=0.000e+00)",1.643e-02
SS 08,"0.610 [0.353, 0.865] (p=0.031)","0.626 [0.385, 0.917] (p=0.028)","2.000 [2.000, 2.000] (p=5.518e-33)","1.000 [0.500, 1.000] (p=0.000e+00)",4.274e-01
Lasso,"0.740 [0.485, 0.958] (p=0.341)","0.679 [0.440, 0.968] (p=0.211)","5.000 [5.000, 6.000] (p=8.970e-10)","0.833 [0.714, 1.000] (p=0.000e+00)",7.566e-02
Lasso 1SE,"0.740 [0.500, 0.960] (p=0.352)","0.679 [0.430, 0.967] (p=0.198)","5.000 [5.000, 6.000] (p=8.970e-10)","0.833 [0.714, 1.000] (p=0.000e+00)",7.566e-02
ElasticNet,"0.760 [0.495, 0.956] (p=0.429)","0.733 [0.460, 0.976] (p=0.171)","7.000 [6.000, 7.000] (p=7.460e-28)","0.857 [0.857, 1.000] (p=0.000e+00)",5.390e-02
