,rmse,R2,Spearmanr,pvalue
GA,14.685195632344634,0.8819523523058417,0.9269810883994856,7.117062e-74
EF CyTOF&Proteomics,19.26687831496783,0.6339360593337531,0.8115658762626189,2.711941e-41
EF CyTOF&Proteomics&GA,11.328619342729382,0.8743988448428961,0.9179893930191545,8.842295e-70
LF CyTOF&Proteomics,18.744136190298764,0.658712665719638,0.7917887894210357,5.053351e-38
LF CyTOF&Proteomics&GA,15.391552213216306,0.7650389718115425,0.8558791044464539,2.876702e-50
