,ROC AUC,Average Precision,N features,CVS
STABL,"0.435 [0.220, 0.646]","0.532 [0.284, 0.760]","0.000 [0.000, 2.250]","0.000 [0.000, 0.000]"
SS 03,"0.390 [0.154, 0.657] (p=0.354)","0.484 [0.285, 0.797] (p=0.346)","5.000 [5.000, 5.000] (p=5.084e-70)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.390 [0.141, 0.649] (p=0.38)","0.484 [0.270, 0.796] (p=0.327)","5.000 [5.000, 5.000] (p=2.607e-67)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.510 [0.222, 0.780] (p=0.31)","0.652 [0.379, 0.861] (p=0.114)","2.000 [2.000, 3.000] (p=2.718e-19)","0.667 [0.667, 1.000] (p=0.000e+00)"
Lasso,"0.310 [0.087, 0.545] (p=0.101)","0.472 [0.250, 0.738] (p=0.053)","1.000 [0.000, 2.000] (p=2.055e-02)","0.000 [0.000, 0.333] (p=0.000e+00)"
Lasso 1SE,"0.310 [0.104, 0.583] (p=0.159)","0.472 [0.248, 0.734] (p=0.06)","1.000 [0.000, 2.000] (p=2.343e-02)","0.000 [0.000, 0.333] (p=0.000e+00)"
ElasticNet,"0.230 [0.030, 0.475] (p=0.094)","0.453 [0.222, 0.704] (p=0.047)","2.000 [0.000, 3.000] (p=9.519e-06)","0.000 [0.000, 0.500] (p=0.000e+00)"
