,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.570 [0.286, 0.833]","0.635 [0.354, 0.889]","3.500 [1.000, 5.000]","0.333 [0.200, 0.800]",6.230e-01
SS 03,"0.510 [0.242, 0.800] (p=0.315)","0.504 [0.295, 0.827] (p=0.12)","6.500 [6.000, 7.000] (p=2.597e-64)","0.857 [0.857, 1.000] (p=0.000e+00)",9.698e-01
SS 05,"0.570 [0.283, 0.840] (p=0.485)","0.559 [0.331, 0.895] (p=0.241)","5.500 [5.000, 6.000] (p=4.028e-44)","0.833 [0.833, 1.000] (p=0.000e+00)",6.232e-01
SS 08,"0.280 [0.146, 0.438] (p=0.011)","0.430 [0.225, 0.655] (p=0.039)","0.000 [0.000, 0.250] (p=1.956e-49)","0.000 [0.000, 0.000] (p=0.000e+00)",3.268e-02
Lasso,"0.580 [0.310, 0.833] (p=0.438)","0.664 [0.399, 0.900] (p=0.403)","3.000 [2.000, 4.000] (p=5.081e-01)","0.500 [0.333, 0.750] (p=0.000e+00)",5.708e-01
Lasso 1SE,"0.580 [0.313, 0.828] (p=0.424)","0.664 [0.414, 0.896] (p=0.384)","3.000 [2.000, 4.000] (p=7.823e-02)","0.500 [0.333, 0.750] (p=2.839e-306)",5.708e-01
ElasticNet,"0.620 [0.343, 0.868] (p=0.292)","0.698 [0.427, 0.903] (p=0.291)","3.000 [3.000, 4.000] (p=6.908e-01)","0.667 [0.500, 0.800] (p=0.000e+00)",3.847e-01
