,ROC AUC,Average Precision,N features,CVS
STABL,"0.752 [0.667, 0.831]","0.740 [0.631, 0.844]","11.000 [8.000, 15.000]","0.208 [0.143, 0.276]"
SS 03,"0.786 [0.709, 0.855] (p=0.159)","0.773 [0.664, 0.863] (p=0.256)","126.000 [121.000, 132.000] (p=2.394e-34)","0.573 [0.546, 0.601] (p=0.000e+00)"
SS 05,"0.782 [0.703, 0.858] (p=0.219)","0.764 [0.658, 0.868] (p=0.341)","46.000 [43.000, 49.000] (p=1.212e-33)","0.483 [0.438, 0.525] (p=0.000e+00)"
SS 08,"0.731 [0.644, 0.815] (p=0.203)","0.723 [0.614, 0.826] (p=0.287)","6.000 [5.000, 8.000] (p=1.351e-14)","0.333 [0.250, 0.444] (p=0.000e+00)"
EF Lasso,"0.784 [0.701, 0.852] (p=0.156)","0.748 [0.639, 0.854] (p=0.441)","132.000 [46.750, 153.000] (p=1.197e-32)","0.250 [0.184, 0.318] (p=7.312e-100)"
