,coor1,coor2,cluster,pvalue_anova
CD4Tmem_IkB,12.03046,7.6818876,6,0.15868023854975322
Treg_IkB,12.578071,8.046376,6,0.3034867341998749
Tregnaive_IkB,13.400288,8.566678,6,0.4402848182568433
Tregmem_IkB,12.207083,7.9087634,6,0.3728426653214628
Th1_IkB,12.281534,8.8712845,6,0.7464469045436295
Th1mem_IkB,12.166612,8.762733,6,0.6477027418111392
Th1naive_IkB,12.941447,9.317487,6,0.3093067330725532
Th2_IkB,13.159339,8.876646,6,0.160912863060599
CD8T_IkB,10.45869,7.267144,6,0.3028670505947282
CD8Tmem_IkB,10.353905,6.8576307,6,0.0718678176491466
CD8Tnaive_IkB,10.25117,7.5935054,6,0.6280543039464519
Granulocytes_pMAPKAPK2,-6.255865,-2.5632584,4,0.11196934894278371
Bcells_pMAPKAPK2,15.831882,2.5590878,0,0.9266057338617762
Bmem_pMAPKAPK2,15.874636,3.3757112,0,0.1710893918831407
Bnaive_pMAPKAPK2,15.697469,2.154982,0,0.695198992400035
Baso_pMAPKAPK2,-7.852657,-10.840962,1,0.9484332575728927
cMC_pMAPKAPK2,18.742994,4.783131,0,0.9706120890271976
MDSC_pMAPKAPK2,19.076197,4.4441366,0,0.48981809810548504
DC_pMAPKAPK2,-10.156826,-12.143698,1,0.7685804336989673
mDC_pMAPKAPK2,14.655369,-1.4421296,0,0.3363873965008003
pDC_pMAPKAPK2,14.703086,3.6014123,0,0.7594808093463387
intMC_pMAPKAPK2,18.477217,4.91147,0,0.9638491084427923
ncMC_pMAPKAPK2,-2.8659313,-0.19300425,4,0.3147454017746558
NK_pMAPKAPK2,15.260985,1.6437992,0,0.6806075859646176
CD56brightCD16negNK_pMAPKAPK2,14.894436,1.2205733,0,0.7698120374121329
CD56dimCD16posNK_pMAPKAPK2,15.125181,1.8340615,0,0.8881279763659149
gdT_pMAPKAPK2,14.915825,0.2344467,0,0.5501915271475444
Tcells_pMAPKAPK2,15.767451,0.5355819,0,0.9307663264281634
CD4T_pMAPKAPK2,15.885661,0.48204085,0,0.9169974813325503
CD4Tnaive_pMAPKAPK2,15.975806,1.2148657,0,0.9659367955767362
CD4Tmem_pMAPKAPK2,15.810244,-0.036700513,0,0.8690641482796848
Treg_pMAPKAPK2,17.04749,0.16319793,0,0.4597624595641465
Tregnaive_pMAPKAPK2,16.977562,2.0610847,0,0.8851374730087922
