,Associated weight
CD62LpImmatureNeutrophils_predictions,9.972892155731333
Bcells_predictions,9.807599333934174
mDC_predictions,8.906066792772233
CCR2nncMC_predictions,8.566933972387861
Th1mem_predictions,8.401250361545095
NKT_predictions,7.77386416856757
CD56brightCD16nNKcells_predictions,7.299215625955155
CD41hiCD61hiPLT_predictions,6.8188338178544585
CCR2pcMC_predictions,5.916500905054375
CD8Tem_predictions,5.14999263324812
CD4Tnaive_predictions,5.105190433411771
gdTcells_predictions,4.436930152511609
Tregnaive_predictions,4.368929874796786
CD4Trm_predictions,2.8024500784272064
CD4Tcm_predictions,2.2520221387056782
Tregmem_predictions,2.0841967487572024
CD4Tem_predictions,1.8144402325619513
pDC_predictions,1.7072204750370712
CD62LnAgedNeutrophils_predictions,1.6250943022306685
CD8Trm_predictions,1.5449743168700725
CD61pCD41pPLT_predictions,1.4782761263097688
intMC_predictions,1.3498722484762538
Th1naive_predictions,1.3062441029627292
MDSC_predictions,0.9117154954510698
CD8Tcm_predictions,0.5949396091572501
CD8Tnaive_predictions,0.5471893706366915
CD56dimCD16pNKcells_predictions,0.45339805308356795
