,ROC AUC,Average Precision,N features,CVS
STABL,"0.660 [0.380, 0.917]","0.706 [0.436, 0.943]","4.500 [3.750, 8.000]","0.500 [0.364, 0.667]"
SS 03,"0.730 [0.495, 0.927] (p=0.357)","0.803 [0.561, 0.959] (p=0.238)","7.000 [7.000, 8.000] (p=2.409e-02)","0.727 [0.667, 0.778] (p=7.794e-27)"
SS 05,"0.250 [0.045, 0.495] (p=0.007)","0.390 [0.226, 0.636] (p=0.007)","1.000 [1.000, 1.250] (p=9.283e-08)","0.000 [0.000, 0.500] (p=2.592e-23)"
SS 08,"0.500 [0.500, 0.500] (p=0.173)","0.500 [0.250, 0.700] (p=0.063)","0.000 [0.000, 0.000] (p=7.605e-09)","0.000 [0.000, 0.000] (p=1.105e-72)"
Lasso,"0.570 [0.303, 0.827] (p=0.297)","0.640 [0.325, 0.892] (p=0.347)","8.000 [4.000, 11.000] (p=2.101e-01)","0.500 [0.300, 0.636] (p=8.308e-02)"
Lasso 1SE,"0.550 [0.280, 0.820] (p=0.248)","0.632 [0.352, 0.896] (p=0.301)","8.000 [3.750, 11.000] (p=3.010e-01)","0.455 [0.273, 0.615] (p=1.304e-02)"
ElasticNet,"0.640 [0.363, 0.880] (p=0.415)","0.682 [0.393, 0.924] (p=0.441)","11.000 [5.750, 15.000] (p=1.120e-03)","0.528 [0.364, 0.688] (p=3.748e-01)"
