,ROC AUC,Average Precision,N features,CVS
STABL,"0.440 [0.197, 0.725]","0.490 [0.305, 0.835]","3.500 [0.750, 6.500]","0.069 [0.000, 0.250]"
SS 03,"0.860 [0.637, 1.000] (p=0.0)","0.917 [0.751, 1.000] (p=0.001)","15.000 [14.000, 16.000] (p=1.061e-06)","0.722 [0.603, 0.812] (p=6.638e-61)"
SS 05,"0.850 [0.596, 1.000] (p=0.005)","0.906 [0.722, 1.000] (p=0.003)","12.000 [11.000, 13.000] (p=2.389e-06)","0.667 [0.533, 0.800] (p=2.650e-60)"
SS 08,"0.530 [0.239, 0.791] (p=0.23)","0.645 [0.365, 0.876] (p=0.078)","5.000 [5.000, 5.000] (p=1.166e-01)","0.571 [0.429, 0.667] (p=1.726e-51)"
Lasso,"0.860 [0.643, 1.000] (p=0.003)","0.901 [0.731, 1.000] (p=0.001)","17.500 [16.000, 18.000] (p=1.071e-06)","0.667 [0.565, 0.765] (p=2.023e-61)"
Lasso 1SE,"0.870 [0.646, 1.000] (p=0.001)","0.899 [0.715, 1.000] (p=0.001)","17.000 [16.000, 18.250] (p=1.114e-06)","0.667 [0.565, 0.737] (p=4.021e-60)"
ElasticNet,"0.910 [0.740, 1.000] (p=0.005)","0.937 [0.806, 1.000] (p=0.0)","72.000 [57.750, 105.500] (p=6.541e-08)","0.574 [0.465, 0.691] (p=1.084e-54)"
