,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.315 [0.162, 0.458]","0.476 [0.269, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",5.143e-02
SS 03,"0.250 [0.040, 0.520] (p=0.327)","0.427 [0.236, 0.759] (p=0.306)","4.000 [3.750, 4.000] (p=1.015e-74)","1.000 [0.750, 1.000] (p=0.000e+00)",6.402e-02
SS 05,"0.250 [0.042, 0.505] (p=0.358)","0.427 [0.242, 0.703] (p=0.319)","4.000 [3.750, 4.000] (p=1.015e-74)","1.000 [0.750, 1.000] (p=0.000e+00)",6.402e-02
SS 08,"0.250 [0.040, 0.500] (p=0.352)","0.427 [0.235, 0.715] (p=0.312)","4.000 [3.000, 4.000] (p=2.100e-71)","1.000 [0.750, 1.000] (p=0.000e+00)",6.402e-02
Lasso,"0.405 [0.283, 0.500] (p=0.241)","0.476 [0.269, 0.700] (p=0.746)","0.000 [0.000, 0.000] (p=3.416e-03)","0.000 [0.000, 0.000] (p=1.839e-81)",1.916e-01
Lasso 1SE,"0.405 [0.270, 0.500] (p=0.267)","0.476 [0.250, 0.685] (p=0.75)","0.000 [0.000, 0.000] (p=3.416e-03)","0.000 [0.000, 0.000] (p=1.839e-81)",1.916e-01
ElasticNet,"0.320 [0.083, 0.596] (p=0.508)","0.442 [0.248, 0.761] (p=0.342)","0.000 [0.000, 0.000] (p=1.472e-02)","0.000 [0.000, 0.000] (p=4.705e-81)",1.859e-01
