,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.515 [0.242, 0.773]","0.573 [0.341, 0.890]","1.000 [1.000, 2.000]","0.500 [0.200, 1.000]",9.397e-01
SS 03,"0.620 [0.354, 0.870] (p=0.054)","0.679 [0.395, 0.919] (p=0.05)","5.000 [5.000, 5.000] (p=2.064e-72)","1.000 [1.000, 1.000] (p=0.000e+00)",3.847e-01
SS 05,"0.630 [0.363, 0.869] (p=0.052)","0.682 [0.403, 0.933] (p=0.037)","5.000 [5.000, 5.000] (p=4.553e-70)","1.000 [1.000, 1.000] (p=0.000e+00)",3.447e-01
SS 08,"0.410 [0.150, 0.672] (p=0.176)","0.566 [0.312, 0.800] (p=0.471)","1.000 [0.000, 1.000] (p=2.176e-25)","0.000 [0.000, 0.000] (p=0.000e+00)",5.005e-01
Lasso,"0.580 [0.264, 0.857] (p=0.171)","0.666 [0.387, 0.910] (p=0.134)","4.000 [4.000, 5.000] (p=7.256e-50)","0.800 [0.750, 1.000] (p=0.000e+00)",5.708e-01
Lasso 1SE,"0.580 [0.302, 0.869] (p=0.182)","0.666 [0.394, 0.923] (p=0.149)","4.000 [4.000, 5.000] (p=7.256e-50)","0.800 [0.750, 1.000] (p=0.000e+00)",5.708e-01
ElasticNet,"0.660 [0.364, 0.889] (p=0.033)","0.728 [0.456, 0.938] (p=0.053)","5.000 [4.000, 5.000] (p=8.777e-50)","0.800 [0.800, 1.000] (p=0.000e+00)",2.413e-01
