,Spearman corr,pvalue
ERK,-0.7077307574495603,0.00048151491972113166
MAPKAPK2,-0.6416613774478488,0.0022910511964623747
NFkB,-0.5376081811049543,0.014495538334615365
STAT3,0.41621278537157763,0.06794714904706994
Frequency,0.41621278537157763,0.06794714904706994
S6,0.3468439878096479,0.13407612120334217
IkB,-0.3468439878096479,0.13407612120334217
CREB,-0.1213953957333768,0.6101689948464966
STAT6,-0.11158567053033415,0.6395259894830241
STAT5,-0.10405319634289441,0.6624265026477676
p38,0.10405319634289441,0.6624265026477676
STAT1,,
