,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.350 [0.114, 0.630]","0.490 [0.277, 0.787]","2.000 [1.000, 2.000]","0.500 [0.000, 1.000]",2.712e-01
SS 03,"0.260 [0.050, 0.531] (p=0.282)","0.425 [0.252, 0.728] (p=0.175)","6.000 [5.750, 6.000] (p=7.648e-73)","1.000 [0.833, 1.000] (p=0.000e+00)",7.566e-02
SS 05,"0.360 [0.110, 0.640] (p=0.465)","0.491 [0.282, 0.793] (p=0.509)","4.500 [4.000, 5.000] (p=3.520e-71)","0.800 [0.800, 1.000] (p=0.000e+00)",3.075e-01
SS 08,"0.560 [0.292, 0.846] (p=0.083)","0.616 [0.350, 0.913] (p=0.056)","2.500 [2.000, 3.000] (p=3.070e-33)","0.667 [0.667, 1.000] (p=0.000e+00)",6.776e-01
Lasso,"0.450 [0.333, 0.500] (p=0.286)","0.500 [0.300, 0.700] (p=0.4)","0.000 [0.000, 0.000] (p=7.847e-44)","0.000 [0.000, 0.000] (p=0.000e+00)",3.681e-01
Lasso 1SE,"0.450 [0.333, 0.500] (p=0.27)","0.500 [0.300, 0.700] (p=0.404)","0.000 [0.000, 0.000] (p=7.847e-44)","0.000 [0.000, 0.000] (p=0.000e+00)",3.681e-01
ElasticNet,"0.410 [0.152, 0.687] (p=0.382)","0.474 [0.289, 0.770] (p=0.437)","0.000 [0.000, 0.000] (p=7.847e-44)","0.000 [0.000, 0.000] (p=0.000e+00)",5.205e-01
