,STAT5,CREB,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2,Frequency
1326,-0.115623527,0.017161515000000016,0.0,0.0,0.295920286,0.014635683999999996,0.007250513000000014,0.05385029600000002,-0.015673016999999956,-0.04210106400000002,0.0037081330000000023,1.842564564
1330,-0.01359590799999999,-0.0024820560000000103,0.0,0.0,0.21720623299999997,-0.003948616000000002,0.013154955999999995,0.009556954000000006,-0.014999079000000026,-0.04184599499999997,0.010987971999999999,2.1142983699999984
1331,-0.09197322000000002,0.02540779,0.0,0.0,1.014557587,0.021806375000000003,0.07709540099999995,0.15457671900000003,-0.001966064000000045,0.04216311699999997,-0.029524462,-4.114512289
1337,0.056609615,0.075192995,0.0,0.0,-0.33596351499999993,-0.012792236999999998,0.006892381000000003,-0.04499416899999997,-0.004724201999999955,0.003277077000000017,-0.0017166689999999901,-5.0650284899999996
1357,0.0028616769999999514,0.03291506499999999,0.0,0.0,0.034432069999999995,0.018758492,0.08886854300000002,0.09086686799999999,-0.0005096780000000134,0.042638920999999996,0.016974257000000006,-1.6448318010000005
1377,0.07536969399999993,0.02454173600000001,0.0,0.0,0.06446238199999987,0.03332312,0.040640693000000006,-0.051168572000000134,-0.02271198499999999,0.057807633000000025,-0.04636280599999999,0.051380739000000286
1381,-0.08471136800000001,0.054865084999999994,0.0,0.0,0.02609889799999998,0.009006092999999993,0.057858363000000024,0.039959226999999986,0.037269526,0.026276468999999913,0.0013923569999999968,-0.670004176
1400,0.016281854000000012,-0.006132265,0.0,0.0,-0.156680969,0.028519088999999997,0.026188234000000032,0.056797817000000084,0.031564127,0.043395152999999964,0.022421537000000005,0.2692805699999994
1414,0.085692349,-0.299456469,-0.870891451,0.0,0.024582511999999945,-0.19706194000000002,-0.928333231,-0.15457043999999986,0.10717422900000007,0.09177976499999996,-0.556684045,0.30568118000000055
1418,-0.09977232200000002,-0.0041565920000000145,0.005381706,0.0,0.05319160299999999,0.015681157000000015,0.03208639000000002,0.07925830300000003,-0.01804304999999995,-0.041920393999999916,-0.014872514000000003,2.07851273
1427,-0.013347182999999985,0.010781859000000005,0.0,0.0,0.094794883,0.006250323000000002,0.02829775699999998,0.024801198000000024,0.008550904999999998,-0.01005037200000003,0.009026861999999997,0.2486231090000004
1428,-0.02683912899999996,0.035808769000000004,0.0,0.0,0.32078704599999996,0.01833947100000001,0.05611076799999998,0.09900277800000001,0.018500936999999995,0.03779064799999998,-0.0020024920000000085,-1.4854136500000017
1431,0.002349768999999974,7.658000000021481e-06,0.0034226989999999995,0.0,-0.10812623400000004,-0.006881046000000002,0.0007804610000000101,0.02806226300000003,-0.019871032999999982,-0.027912897999999964,0.008833236999999994,3.197883300000001
1464,0.394574151,0.40166925900000006,0.060192875,0.0,0.08900568800000003,0.012127773000000008,0.01723333199999999,0.035675956999999814,0.029219227999999986,0.11239713299999998,0.0017202759999999928,-1.3096352629999997
1469,0.15773603200000003,0.25755442900000003,0.022104552,0.0,-0.8478161100000001,0.004922946000000011,0.088930764,-0.016851801000000055,0.027849542000000005,0.06301570899999998,0.0016311729999999997,0.745318686000001
1472,-0.03049985600000002,0.084734553,0.0,0.0,0.46575503499999993,0.086525184,0.19137434800000003,0.2347639319999999,0.033708934999999995,0.080387859,0.030603658000000006,-2.0318049800000004
1473,0.20307244200000008,0.029242567999999997,0.0,0.0,-0.038641762999999996,0.01752442700000001,0.12633483299999998,0.015927722999999894,-0.006118657999999999,0.03277587000000004,0.017313885,-4.447646419999998
1475,-0.024279213999999993,-0.035635150000000004,0.0,0.0,-0.32005154,-0.021835933000000002,-0.03935566900000004,-0.130358384,-0.03173815300000005,-0.04377279700000003,0.0015340869999999895,-0.7793679699999991
1480,0.013677614000000005,-0.013064071999999996,0.0,0.0,-0.057190942999999994,-0.0044025889999999845,0.020620711000000014,-0.029733736000000066,-0.022952741,0.014690096000000041,-0.009859758000000003,-4.083981061000001
1488,-0.025645790999999973,-0.005834533000000003,0.0,0.0,0.143239403,-0.03188274699999999,-0.06433494100000003,-0.12295421200000001,0.026463229000000033,0.035205268999999983,-0.043367108000000015,-2.5000680099999997
