,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.530 [0.252, 0.812]","0.588 [0.346, 0.857]","5.000 [0.000, 5.000]","0.000 [0.000, 1.000]",8.469e-01
SS 03,"0.660 [0.396, 0.900] (p=0.056)","0.731 [0.480, 0.949] (p=0.052)","5.000 [5.000, 5.000] (p=3.608e-20)","1.000 [1.000, 1.000] (p=0.000e+00)",2.413e-01
SS 05,"0.660 [0.396, 0.896] (p=0.056)","0.731 [0.484, 0.941] (p=0.063)","5.000 [5.000, 5.000] (p=3.608e-20)","1.000 [1.000, 1.000] (p=0.000e+00)",2.413e-01
SS 08,"0.450 [0.180, 0.709] (p=0.319)","0.532 [0.289, 0.813] (p=0.346)","2.000 [2.000, 3.000] (p=6.868e-08)","0.667 [0.667, 1.000] (p=0.000e+00)",7.337e-01
Lasso,"0.630 [0.353, 0.881] (p=0.192)","0.711 [0.412, 0.924] (p=0.11)","5.000 [5.000, 5.000] (p=1.221e-11)","1.000 [1.000, 1.000] (p=0.000e+00)",3.447e-01
Lasso 1SE,"0.630 [0.364, 0.870] (p=0.182)","0.711 [0.433, 0.935] (p=0.112)","5.000 [5.000, 5.000] (p=1.221e-11)","1.000 [1.000, 1.000] (p=0.000e+00)",3.447e-01
ElasticNet,"0.630 [0.375, 0.879] (p=0.203)","0.724 [0.413, 0.929] (p=0.105)","5.000 [5.000, 5.000] (p=7.850e-09)","1.000 [0.600, 1.000] (p=0.000e+00)",3.447e-01
