,Feature Name
Feature n°1,CD41hiCD61hiPLT_p38
Feature n°2,CD41hiCD61hiPLT_S6
Feature n°3,CD4Tcm_STAT3
Feature n°4,CD4Tem_Frequency
Feature n°5,CD62LpImmatureNeutrophils_Frequency
Feature n°6,CD8Tem_Frequency
Feature n°7,gdTcells_Frequency
Feature n°8,MDSC_Frequency
Feature n°9,Th1naive_CREB
Feature n°10,Th1naive_p38
Feature n°11,Tregmem_Frequency
Feature n°12,Tregnaive_STAT3
