,ROC AUC,Average Precision,N features,CVS
STABL,"0.550 [0.364, 0.722]","0.556 [0.333, 0.789]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.470 [0.200, 0.740] (p=0.318)","0.603 [0.316, 0.860] (p=0.368)","15.000 [14.000, 16.250] (p=8.148e-05)","0.447 [0.364, 0.526] (p=3.282e-68)"
SS 05,"0.480 [0.222, 0.768] (p=0.346)","0.606 [0.325, 0.856] (p=0.35)","15.000 [14.000, 16.000] (p=8.073e-05)","0.447 [0.364, 0.526] (p=3.734e-68)"
SS 08,"0.490 [0.200, 0.790] (p=0.367)","0.639 [0.361, 0.868] (p=0.273)","14.000 [14.000, 15.250] (p=7.931e-05)","0.450 [0.376, 0.526] (p=3.642e-68)"
Lasso,"0.190 [0.050, 0.393] (p=0.005)","0.379 [0.229, 0.634] (p=0.003)","1.000 [0.000, 6.750] (p=7.643e-02)","0.000 [0.000, 0.000] (p=1.991e-10)"
Lasso 1SE,"0.180 [0.042, 0.364] (p=0.01)","0.374 [0.216, 0.608] (p=0.002)","0.500 [0.000, 5.250] (p=7.643e-02)","0.000 [0.000, 0.000] (p=1.869e-10)"
ElasticNet,"0.340 [0.095, 0.590] (p=0.052)","0.512 [0.280, 0.763] (p=0.342)","8.500 [2.250, 81.500] (p=2.394e-04)","0.067 [0.000, 0.293] (p=2.594e-29)"
