,Fold n°1,Fold n°2,Fold n°3,Fold n°4,Fold n°5,Fold n°6,Fold n°7,Fold n°8,Fold n°9,Fold n°10,Fold n°11,Fold n°12,Fold n°13,Fold n°14,Fold n°15,Fold n°16,Fold n°17,Fold n°18,Fold n°19,Fold n°20,Fold n°21,Fold n°22,Fold n°23,Fold n°24,Fold n°25,Fold n°26,Fold n°27,Fold n°28,Fold n°29,Fold n°30,Fold n°31,Fold n°32,Fold n°33,Fold n°34,Fold n°35,Fold n°36,Fold n°37,Fold n°38,Fold n°39,Fold n°40,Fold n°41,Fold n°42,Fold n°43,Fold n°44,Fold n°45,Fold n°46,Fold n°47,Fold n°48,Fold n°49,Fold n°50
Bcells_149Sm_CREB_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_149Sm_CREB_IL246,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
Bcells_149Sm_CREB_unstim,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Bcells_150Nd_STAT5_IFNa,-0.16259026217765357,0.8043740199635614,1.8067123655416224,-0.0,-4.3646781585645416,-0.0,0.6201531008989375,0.0,-0.0,-2.027948031234927,0.0,-0.0,1.0266736894814936,-0.0,-5.5417364110465135,0.0,-0.0,1.3584693861940147,0.0,-4.139511493498406,0.0,0.0,0.9319111260658195,0.0,-2.211853920860612,-0.11552997427035722,0.0,2.361389534211076,-0.0,-3.296333726436527,0.0,1.208335678006477,0.0,0.0,-6.0974762196919015,-0.0,0.08849393337743512,1.0930291748963974,0.0,-4.9721463558676815,-0.6447942525240007,1.8931228968655853,1.1781989460654936,0.07067389099722987,-4.861960218953925,-0.09604872797547333,1.6230346128102884,1.234305675894824,0.0,-2.8625123793371503
Bcells_150Nd_STAT5_IL246,-7.772013711479127,-16.07739117202614,-8.62361979695193,-9.856765546816971,-18.752676679635016,-17.863397572015895,-13.69813862495199,-8.250239929223754,-5.803347673524673,-14.095290599353355,-5.728248613698859,-20.44780895486289,-6.145146942185058,-9.885676834708395,-42.49780726948149,-6.664887354330651,-15.330376815608423,-6.934816639496208,-5.759862991900862,-46.76554908887855,-9.051559460604933,-22.616995188034533,-6.748609506903302,-6.644955156688488,-8.063041541693826,-10.40863370408579,-15.7455777219054,-8.855145750243798,-10.131968688680274,-12.22579941735211,-9.967418622968932,-17.951575363409194,-6.083640407278799,-6.802491414003848,-20.402600251612423,-6.59050337453126,-17.4703312023229,-8.542970827993422,-3.4702822703705123,-27.150379757246885,-17.786153582529014,-20.3459006256879,-13.466956194866977,-6.827092520356235,-18.07878589476741,-11.385264046171072,-18.83930234129226,-4.046841048459861,-4.858015072302379,-10.529444181622665
Bcells_150Nd_STAT5_unstim,-0.03396218943727671,-0.0,-0.0,-0.0,-1.6346829577847308,-1.158362724377069,-0.08660135205582213,-0.0,0.0,-0.04730892574723455,-0.0,-0.6876835515205751,-0.0,0.0,-3.4647330110256926,-0.0,-0.011894063778683116,-0.0,-0.0,-2.8156657853701677,-0.2730521711725119,-0.5871168701259837,-0.0,-0.0,-0.0,-0.6171369921711564,-0.014446037114596137,-0.0,0.0,-0.0,-0.0,-0.18732425398758817,-0.0,0.0,-1.423376976924514,-0.0,-0.005094282467238877,-0.0,-0.0,-1.843510283852116,-0.9493215488591357,-0.2155581228202445,-0.0,-0.0,-0.0,-0.5567893038334419,-0.0,-0.0,-0.0,-0.0
Bcells_153Eu_STAT1_IFNa,2.0815457174646723,0.3981430614522075,-0.0,-0.0,0.0,-0.0,0.0,2.6399675073502684,0.0,-0.05847384815825661,0.0,1.7333289212536356,0.11392631067097456,0.20646604910045402,0.11345390495011665,0.0,1.3179053867853876,0.046692389499672374,0.031103500661942268,0.0,0.0,0.0,1.7390047249544762,0.2092158332516721,-0.0,0.6572706094047378,-0.0,0.0,0.6226064783739494,-0.0,0.08871672294815945,-0.5162710456507308,2.2256469665489607,0.09511864877569771,-0.0,0.650948089486842,-0.44892163770352955,0.786718102236794,0.0,0.0,0.8305878814701949,-0.0,2.849092612784468,0.0,0.0,2.130167813337919,0.0,0.0,-0.0,-0.0
Bcells_153Eu_STAT1_unstim,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.080906290346247,-0.0,-0.0,-0.0,0.0,-0.16329479463551408,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
Bcells_154Sm_STAT3_IFNa,4.387304646762534,6.301865861474314,5.284152657878337,0.336320072951147,3.2085362253610406,5.362062834389626,5.5140291273666575,6.06997415689317,2.9254759144797355,0.0,3.38875227163703,7.400779544711751,4.2046609462920985,4.1192982199590915,0.3411875196351823,3.309435287250043,6.491755024977311,5.239421097120451,3.0854009832861684,3.0178992426723714,4.5571764425430406,5.2730022907089324,5.339910494380149,3.375209970846603,1.153426530539018,5.760128556040753,5.438969661174363,4.747225823058557,4.025498591343869,0.0,4.293343826518771,6.051454572071042,5.169346125114616,1.3834164861343528,3.763581985232258,3.6701277360557976,5.680241933778228,5.706915866065078,2.748752259888263,0.244395269656304,6.447774316604664,6.627881190141639,5.637166433933799,3.2318385424870786,0.0,5.991252460914763,7.0520173651777,3.60213425464807,2.663107827675776,0.8463386925950332
Bcells_154Sm_STAT3_IL246,-2.5929933355687664,-1.120807037124055,-1.5587073211953923,-5.784420758513622,-6.988214219097308,-8.535312915884292,-1.5868492527471225,-0.0,-2.2227422041784664,-8.415042371191298,-1.645946116437775,-2.782607167956915,-0.006202111495227253,-5.256344868327523,-23.438750258686905,-2.8813376444212224,-0.4141909162735294,-0.0,-2.180262773370925,-29.90598515068111,-3.6708157410289886,-5.642595545708419,0.0,-2.679550399239322,-3.5635436557755185,-2.7104231106171257,-2.2505816657966853,-0.9518544297781176,-5.290397205830142,-5.806287095838013,-4.157332018301165,-5.204701016462587,0.0,-3.072193564871376,-10.469124448413655,-2.13442971104996,-4.425370584990895,-0.03211947571970155,-0.7496570310231017,-15.005458312273323,-7.256105986758044,-5.008740422287846,-2.0951975817865027,-2.978430455458498,-10.645363137886475,-3.616269029980037,-4.1699604630796845,-0.0,-2.0477937858295183,-4.539436898620267
Bcells_154Sm_STAT3_unstim,-0.3703065497612142,-0.0,-0.0,0.0,-2.369486876614622,-1.6430639739729545,-0.26912791529934277,-0.0,0.0,-0.3222862915078119,-0.10374553625945956,-0.8227353028059298,-0.0,0.0,-3.853031649112605,-0.03153768866563403,-0.19931364803257398,-0.0,0.0,-4.222839915911377,-0.7037576398588481,-0.2592606484951821,-0.010117473254964954,0.0,-0.0,-1.1470143404426678,-0.11731373856076019,-0.0,0.0,-0.15933043817500725,-0.022560209689846,-0.2812871023860892,-0.0,0.0,-1.9356189680580078,-0.07387545700301407,-0.07357014449349047,-0.0,0.0,-3.088711258743211,-1.445825199163001,-0.7518545097182812,-0.0,0.0,-0.13708233558614155,-0.9861304614181977,-0.0,-0.0,0.0,-0.21616140010203197
Bcells_155Gd_S6_IFNa,0.0,0.12851660784057709,1.1386271922095825,1.552485094042841,2.399183267000782,0.11134417769813829,0.4147541162286536,0.8886795760178159,1.3875436300007584,1.4090248544766215,0.0,1.653859287965136,0.3511954011923068,2.1238615403019265,2.771136912611336,0.11690817156840864,0.566116447176066,0.23605430605422634,1.519731121111085,1.1758158877806275,0.0,2.0117227833017175,1.0996900949418553,1.445128077818918,0.9602064159378121,0.034872442016108784,0.0,1.6234608891304956,1.5820548455733596,1.4201706880993457,0.6817825986375233,0.0,0.5114231789508779,1.8534146956669073,1.302586093812909,0.0,0.0,1.9088276448682557,0.7132636601105191,1.215804853789698,0.0,1.7653362787483766,0.2257793630842315,1.7662478507307435,2.819216735819365,0.23042747715799566,0.0,0.5364907083449263,1.0007333083960301,1.028030077503466
Bcells_155Gd_S6_IL246,0.0,0.3807207224331979,0.0,1.3114153018931232,2.120705631352124,0.0,0.9621613295120299,0.5861173056752247,0.011187338509463771,0.8086980330829107,0.0,2.4012190674553247,0.0,0.7052084753979445,5.440738055402998,0.0,1.2775217964441477,0.0,0.5182167730199366,0.45966900111172404,0.0,1.4108986294876278,0.36450177077954476,0.47723017882771623,0.7493074852067668,0.0,0.0,1.0506473837615782,0.5435758470748612,0.829043172312058,0.21059767383392766,-0.0,0.10035055094005081,0.34791854675019057,2.1051665230575685,0.0,0.0,0.8140752098570804,0.0,2.879401975760655,0.0,1.4767241010504932,0.0,0.0,2.6510771775606754,0.4462166851658758,0.02000158676851188,0.0,0.0,0.6326249138718725
Bcells_155Gd_S6_LPS,-0.0,0.5208583873655092,0.0,0.088339419056649,2.1671426836425596,-1.0941534903046926,0.9051757839901535,0.026393356387355325,0.13976546461502057,0.5918345287655137,-0.0,2.4849447469072703,0.0,0.0,4.662585344611504,-0.0,0.5854762227252153,0.0,0.6610346514047895,0.0,0.0,0.0,0.04097626176926549,0.0,1.0253641975761734,0.0,-0.0,0.6431016037771464,0.25250060682923237,0.6377874945496017,-0.0,0.03441958341063211,0.2331948129561647,0.0,0.9796870105293635,-0.0,1.0060756262208599,0.10260415608053397,0.0,1.3281318237613053,-0.0,1.0908166599814917,0.0,0.0,2.3858791672668094,-0.0,1.5763994584400363,0.0,0.0,0.7202435904029298
Bcells_155Gd_S6_unstim,-1.5700741556177171,-0.9766684743932785,-0.3350387116279345,-3.4638476441979806,-6.2736470839454626,-8.456564680076053,1.5166738105550197,-1.625816767757924,-0.9951520120542072,-5.3551588564771615,-1.9774769380275334,-1.5635747261103206,-0.0,-3.416768834455345,-9.979190676623052,-2.4532249928984258,1.7666819727929441,-0.7754020677160128,-1.5486438706182981,-22.44273961226526,-0.0,-11.415230427673098,-0.6598103688726038,-3.1618903359364596,0.0,-1.981276657899479,-2.894156481361934,-0.4214869611057954,-2.299923185768455,-4.542440343511829,-3.7619299877071666,-0.1865101956045118,0.0,-4.236347578440748,-3.9735307400545765,-2.3442085333775027,5.946606949623763,-2.1723805129612996,-1.8278909770903757,-12.511325663830307,-1.9959907714779352,-3.4308615200614305,-2.7655896937784052,-3.8026505242698345,-2.7674601862688184,-2.046364919721944,2.0984238424957105,-1.2327143303788117,-2.043371137675385,-3.0851401141482326
Bcells_156Gd_IkB_IFNa,0.5274159519400125,0.0,0.0,0.0,0.0,0.9086608130820727,0.0,0.6341483980514973,0.0,0.0,0.0,0.7981803233666668,0.0,0.0,-0.0,0.0,0.5221205454364078,0.0,0.0,-0.0,0.0,1.433442102952259,0.011539057867969493,0.0,0.0,0.16161013395177876,0.8127615345098524,0.266348636547579,0.0031028173280902545,0.0,0.43079621915263494,0.0,0.4222615605801694,0.0,0.0,0.2871093919464877,0.0,0.5421163056234634,0.0,-0.0,0.5132445617818322,0.5891788072754418,0.7751763604235445,0.0,0.0,1.2233758935545112,0.0,0.0,0.0,0.0
Bcells_156Gd_IkB_IL246,0.20330042373731672,0.0,0.0,0.47277471917476604,-0.0,0.48089686322138436,0.0,0.0,0.0,-0.0,0.0,0.46291726246384024,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.23436516655029757,0.0,0.0,0.2972196052523314,-0.0,0.19654861739682333,-0.0,0.0,0.0,0.0,0.060899358770852674,0.0,0.0,0.0,0.0,0.17073730268901638,0.04344690770445624,0.0,0.0,-0.0,0.7381739218264783,0.0,0.0,0.0,0.0
Bcells_156Gd_IkB_unstim,0.0,0.5097079107137455,1.6370994375071715,1.3900635773017886,0.20402310590210507,0.9167776396323187,0.06107158939398772,1.0461742990714094,0.40784295662748177,0.30313388997278085,0.0,0.0,1.3494650077119277,1.159101480017223,2.0905790615667414,0.0,0.0,1.6370784631042241,0.6055075882757931,1.5841671853254218,0.0,2.0655580758752663,0.9234618327919173,0.7634396264113982,0.0,0.0,1.3463159921229022,1.1928944730705364,1.0313527481816214,0.3849579600484129,0.0,1.597658125891632,0.7284831061468434,0.9175099085987588,0.0,0.0,0.3126018245935159,1.484033440065866,0.6543593561961116,1.1781246406354005,0.12437820937587514,0.7271869974532387,2.6386812764432155,0.9617684662402362,0.0,0.0,0.45117681303587237,0.7273596937988953,0.6575856333733855,0.28995793410675297
