,Associated weight
CD41hiCD61hiPLT_predictions,9.932802467535431
CD62LnAgedNeutrophils_predictions,9.237583409201386
CCR2nncMC_predictions,8.956049298890536
CD4Tcm_predictions,8.416237228914637
CD56brightCD16nNKcells_predictions,7.739455705552299
CCR2pcMC_predictions,7.725166464771201
Bcells_predictions,7.0737248093597955
intMC_predictions,6.521710260383465
CD61pCD41pPLT_predictions,6.357900574008957
CD56dimCD16pNKcells_predictions,5.656115525401465
CD8Tem_predictions,5.419582078585893
Tregmem_predictions,5.218953369002547
mDC_predictions,3.5058375237657726
Th1naive_predictions,2.566313833858519
CD4Tnaive_predictions,2.5662643570581825
CD4Tem_predictions,2.3987523104840944
pDC_predictions,2.207960955639897
gdTcells_predictions,1.8939460843155553
Tregnaive_predictions,1.8808697418823872
CD62LpImmatureNeutrophils_predictions,1.8428552916251872
CD4Trm_predictions,1.7459188150669813
MDSC_predictions,1.286336669932704
CD8Tnaive_predictions,1.0637361268275658
CD8Tcm_predictions,0.7207180324806273
Th1mem_predictions,0.6680429796316256
CD8Trm_predictions,0.51850250258903
NKT_predictions,0.47803169306505633
