,ROC AUC,Average Precision,N features,CVS
STABL,"0.415 [0.232, 0.600]","0.503 [0.278, 0.750]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.300 [0.083, 0.560] (p=0.204)","0.414 [0.237, 0.707] (p=0.069)","5.000 [5.000, 5.000] (p=8.518e-60)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.300 [0.088, 0.530] (p=0.221)","0.414 [0.243, 0.702] (p=0.059)","5.000 [5.000, 5.000] (p=8.518e-60)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.410 [0.180, 0.677] (p=0.469)","0.472 [0.292, 0.793] (p=0.324)","4.000 [3.750, 4.000] (p=1.931e-30)","0.800 [0.750, 1.000] (p=0.000e+00)"
Lasso,"0.360 [0.220, 0.500] (p=0.212)","0.453 [0.248, 0.677] (p=0.131)","0.000 [0.000, 0.000] (p=3.644e-02)","0.000 [0.000, 0.000] (p=3.273e-68)"
Lasso 1SE,"0.360 [0.219, 0.500] (p=0.218)","0.453 [0.250, 0.671] (p=0.123)","0.000 [0.000, 0.000] (p=3.644e-02)","0.000 [0.000, 0.000] (p=3.273e-68)"
ElasticNet,"0.180 [0.010, 0.406] (p=0.056)","0.370 [0.222, 0.627] (p=0.015)","0.000 [0.000, 0.000] (p=6.690e-02)","0.000 [0.000, 0.000] (p=4.784e-43)"
