,R2,RMSE,MAE,N features,CVS
STABL,"-0.005 [-0.045, 0.004]","277.816 [231.293, 321.310]","184.880 [155.943, 217.507]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"-0.399 [-1.388, 0.110]","327.759 [268.078, 395.390]","244.342 [210.551, 283.081]","177.000 [170.250, 181.750] (p=2.111e-19)","0.782 [0.728, 0.831] (p=0.000e+00)"
SS 05,"-2.710 [-9.011, -0.097]","533.677 [295.304, 806.064]","291.019 [234.980, 368.713]","142.500 [139.000, 147.000] (p=2.075e-19)","0.749 [0.692, 0.800] (p=0.000e+00)"
SS 08,"-2.552 [-6.761, -0.165]","522.187 [293.188, 749.524]","294.326 [234.506, 381.003]","85.000 [82.250, 89.000] (p=2.070e-19)","0.706 [0.613, 0.763] (p=0.000e+00)"
Lasso,"0.060 [-0.038, 0.122]","268.560 [225.151, 312.805]","188.582 [159.881, 221.365]","12.500 [7.000, 20.750] (p=1.679e-15)","0.250 [0.176, 0.345] (p=0.000e+00)"
Lasso 1SE,"0.060 [-0.050, 0.132]","268.560 [225.613, 309.768]","188.582 [160.191, 218.603]","12.500 [7.000, 20.750] (p=1.679e-15)","0.250 [0.176, 0.345] (p=0.000e+00)"
ElasticNet,"0.086 [-0.089, 0.203]","264.828 [221.854, 306.021]","187.165 [154.804, 221.469]","261.500 [238.750, 287.750] (p=2.134e-19)","0.622 [0.589, 0.659] (p=0.000e+00)"
