,ROC AUC,Average Precision,N features,CVS
STABL,"0.585 [0.389, 0.760]","0.550 [0.333, 0.783]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.550 [0.273, 0.812] (p=0.428)","0.640 [0.383, 0.897] (p=0.22)","7.000 [6.750, 7.000] (p=5.206e-49)","1.000 [0.857, 1.000] (p=0.000e+00)"
SS 05,"0.570 [0.253, 0.840] (p=0.482)","0.722 [0.459, 0.915] (p=0.141)","5.000 [5.000, 5.000] (p=3.026e-34)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.340 [0.162, 0.556] (p=0.04)","0.489 [0.242, 0.701] (p=0.279)","0.000 [0.000, 1.000] (p=1.269e-01)","0.000 [0.000, 0.000] (p=6.735e-17)"
Lasso,"0.410 [0.141, 0.690] (p=0.157)","0.561 [0.297, 0.825] (p=0.483)","6.000 [2.500, 7.000] (p=3.390e-36)","0.667 [0.167, 0.857] (p=0.000e+00)"
Lasso 1SE,"0.410 [0.135, 0.687] (p=0.17)","0.561 [0.298, 0.825] (p=0.47)","6.000 [2.500, 7.000] (p=3.390e-36)","0.667 [0.167, 0.857] (p=0.000e+00)"
ElasticNet,"0.420 [0.147, 0.687] (p=0.168)","0.571 [0.327, 0.825] (p=0.413)","6.000 [1.750, 7.000] (p=1.026e-39)","0.571 [0.167, 1.000] (p=0.000e+00)"
