,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.500 [0.500, 0.500]","0.500 [0.300, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.000e+00
SS 03,"0.210 [0.020, 0.434] (p=0.044)","0.379 [0.213, 0.649] (p=0.054)","6.000 [5.000, 6.000] (p=3.248e-79)","0.833 [0.833, 1.000] (p=0.000e+00)",3.121e-02
SS 05,"0.080 [0.000, 0.214] (p=0.0)","0.344 [0.193, 0.579] (p=0.01)","4.000 [4.000, 4.000] (p=9.505e-87)","1.000 [1.000, 1.000] (p=0.000e+00)",1.706e-03
SS 08,"0.120 [0.000, 0.319] (p=0.02)","0.356 [0.209, 0.601] (p=0.052)","2.000 [2.000, 2.000] (p=3.155e-81)","1.000 [0.667, 1.000] (p=0.000e+00)",4.586e-03
Lasso,"0.450 [0.333, 0.500] (p=0.488)","0.500 [0.300, 0.701] (p=1.0)","0.000 [0.000, 0.000] (p=1.389e-03)","0.000 [0.000, 0.000] (p=1.921e-11)",3.681e-01
Lasso 1SE,"0.450 [0.333, 0.500] (p=0.499)","0.500 [0.300, 0.700] (p=1.0)","0.000 [0.000, 0.000] (p=1.389e-03)","0.000 [0.000, 0.000] (p=1.921e-11)",3.681e-01
ElasticNet,"0.410 [0.152, 0.680] (p=0.308)","0.467 [0.271, 0.766] (p=0.405)","0.000 [0.000, 0.000] (p=1.389e-03)","0.000 [0.000, 0.000] (p=1.921e-11)",5.205e-01
