,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.270 [0.130, 0.417]","0.408 [0.219, 0.651]","0.000 [0.000, 0.250]","0.000 [0.000, 0.000]",2.539e-02
SS 03,"0.050 [0.000, 0.188] (p=0.089)","0.340 [0.200, 0.579] (p=0.097)","6.000 [6.000, 6.000] (p=9.720e-76)","1.000 [0.833, 1.000] (p=0.000e+00)",7.685e-04
SS 05,"0.110 [0.000, 0.273] (p=0.149)","0.351 [0.209, 0.576] (p=0.116)","4.000 [4.000, 4.000] (p=7.443e-75)","1.000 [0.800, 1.000] (p=0.000e+00)",3.611e-03
SS 08,"0.000 [0.000, 0.000] (p=0.0)","0.331 [0.192, 0.533] (p=0.028)","3.000 [2.000, 3.000] (p=1.151e-69)","0.750 [0.667, 1.000] (p=0.000e+00)",1.827e-04
Lasso,"0.500 [0.500, 0.500] (p=0.036)","0.500 [0.300, 0.700] (p=0.07)","0.000 [0.000, 0.000] (p=4.960e-14)","0.000 [0.000, 0.000] (p=9.376e-277)",1.000e+00
Lasso 1SE,"0.500 [0.500, 0.500] (p=0.038)","0.500 [0.299, 0.700] (p=0.07)","0.000 [0.000, 0.000] (p=4.960e-14)","0.000 [0.000, 0.000] (p=9.376e-277)",1.000e+00
ElasticNet,"0.450 [0.182, 0.727] (p=0.138)","0.590 [0.329, 0.824] (p=0.082)","0.000 [0.000, 0.000] (p=4.960e-14)","0.000 [0.000, 0.000] (p=9.376e-277)",7.337e-01
