,ROC AUC,Average Precision,N features,CVS
STABL,"0.500 [0.500, 0.500]","0.500 [0.300, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.080 [0.000, 0.229] (p=0.003)","0.344 [0.200, 0.588] (p=0.006)","2.000 [2.000, 2.000] (p=9.183e-89)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.080 [0.000, 0.240] (p=0.004)","0.344 [0.204, 0.582] (p=0.004)","2.000 [2.000, 2.000] (p=9.183e-89)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.080 [0.000, 0.213] (p=0.0)","0.344 [0.200, 0.569] (p=0.006)","2.000 [2.000, 2.000] (p=9.183e-89)","1.000 [1.000, 1.000] (p=0.000e+00)"
Lasso,"0.500 [0.500, 0.500] (p=1.0)","0.500 [0.300, 0.700] (p=1.0)","0.000 [0.000, 0.000] (p=1.000e+00)","0.000 [0.000, 0.000] (p=1.000e+00)"
Lasso 1SE,"0.500 [0.500, 0.500] (p=1.0)","0.500 [0.300, 0.700] (p=1.0)","0.000 [0.000, 0.000] (p=1.000e+00)","0.000 [0.000, 0.000] (p=1.000e+00)"
ElasticNet,"0.320 [0.104, 0.593] (p=0.156)","0.420 [0.259, 0.727] (p=0.163)","0.000 [0.000, 0.000] (p=1.000e+00)","0.000 [0.000, 0.000] (p=1.000e+00)"
