,C'=' 0.010,C'=' 0.044,C'=' 0.078,C'=' 0.112,C'=' 0.147,C'=' 0.181,C'=' 0.215,C'=' 0.249,C'=' 0.283,C'=' 0.317,C'=' 0.351,C'=' 0.386,C'=' 0.420,C'=' 0.454,C'=' 0.488,C'=' 0.522,C'=' 0.556,C'=' 0.590,C'=' 0.624,C'=' 0.659,C'=' 0.693,C'=' 0.727,C'=' 0.761,C'=' 0.795,C'=' 0.829,C'=' 0.863,C'=' 0.898,C'=' 0.932,C'=' 0.966,C'=' 1.000
artificial.21,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.015,0.027,0.045,0.063,0.071,0.08,0.094,0.109,0.122,0.134,0.152,0.165,0.183,0.2,0.215,0.224,0.234,0.238,0.241,0.246,0.253,0.256,0.259
artificial.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.012,0.018,0.024,0.029,0.031,0.033,0.037,0.038,0.041,0.043,0.044,0.046,0.049,0.051,0.051,0.055,0.057,0.057,0.059,0.062,0.064
artificial.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.004,0.004,0.004,0.006,0.008,0.011,0.015,0.018,0.019,0.023,0.026,0.03,0.032,0.033,0.035,0.04
artificial.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.007,0.019,0.032,0.04,0.05,0.054,0.062,0.063,0.066,0.073,0.075,0.085,0.092,0.095,0.099,0.099,0.102,0.107,0.109,0.115,0.117,0.12
artificial.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.006,0.02,0.041,0.063,0.082,0.101,0.113,0.119,0.125,0.132,0.141,0.147,0.154,0.162,0.172,0.181,0.19,0.195,0.203,0.206,0.211
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.005,0.005,0.007,0.012,0.014,0.016,0.017,0.019,0.02,0.021,0.021,0.023,0.025,0.025,0.025,0.026,0.026,0.026,0.026
artificial.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.019,0.034,0.072,0.103,0.13,0.149,0.17,0.186,0.199,0.214,0.236,0.242,0.253,0.264,0.28,0.289,0.294,0.303,0.311,0.314,0.32
artificial.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.012,0.021,0.039,0.049,0.062,0.08,0.093,0.105,0.119,0.131,0.143,0.162,0.169,0.181,0.191,0.204,0.213
artificial.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.019,0.05,0.088,0.132,0.178,0.226,0.292,0.337,0.371,0.423,0.463,0.485,0.513,0.531,0.544,0.549,0.562,0.572,0.581,0.59,0.596
artificial.30,0.0,0.0,0.0,0.006,0.012,0.01,0.014,0.014,0.016,0.021,0.023,0.024,0.025,0.026,0.027,0.029,0.029,0.033,0.037,0.041,0.044,0.043,0.047,0.05,0.052,0.055,0.056,0.055,0.057,0.059
artificial.31,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.015,0.026,0.037,0.048,0.067,0.087,0.116,0.141,0.167,0.187,0.203,0.217,0.226,0.24,0.255,0.266,0.275,0.287,0.292,0.299,0.306,0.318
artificial.32,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.011,0.024,0.039,0.053,0.072,0.088,0.122,0.143,0.159,0.168,0.172,0.184,0.188,0.195,0.2,0.208,0.215,0.217,0.224,0.228,0.229,0.232,0.234
artificial.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.016,0.062,0.142,0.2,0.227,0.257,0.295,0.324,0.36,0.394,0.414,0.429,0.447,0.462,0.471,0.483,0.488,0.495,0.504,0.512,0.517,0.523
artificial.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.008,0.01,0.011,0.015,0.021,0.03,0.039,0.049,0.06,0.068,0.07,0.08,0.082,0.087,0.097,0.099,0.107,0.115,0.119,0.123,0.129,0.133
artificial.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.007,0.015,0.019,0.024,0.029,0.031,0.035,0.04,0.045,0.046,0.047,0.047,0.047,0.049,0.049,0.05,0.051,0.053
artificial.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001
artificial.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.011,0.068,0.171,0.277,0.363,0.462,0.524,0.568,0.592,0.614,0.644,0.662,0.667,0.676,0.683,0.689,0.697,0.704,0.707,0.71,0.718,0.72
artificial.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.009,0.016,0.02,0.028,0.031,0.033,0.037,0.039,0.048,0.05,0.054,0.059,0.066,0.074,0.079,0.082,0.083,0.087,0.087,0.091,0.098
artificial.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.007,0.012,0.025,0.042,0.065,0.087,0.095,0.103,0.115,0.125,0.132,0.134,0.135,0.147,0.151,0.154,0.161,0.165,0.166,0.169,0.172
