,Max Proba
artificial.506,0.3
artificial.606,0.3
artificial.144,0.3
artificial.46,0.299
artificial.657,0.297
artificial.239,0.292
artificial.71,0.29
artificial.422,0.289
artificial.548,0.289
artificial.153,0.289
artificial.754,0.288
artificial.467,0.284
artificial.716,0.284
artificial.178,0.284
artificial.534,0.281
artificial.501,0.279
artificial.82,0.277
artificial.521,0.276
artificial.83,0.276
artificial.112,0.273
artificial.203,0.272
artificial.333,0.271
artificial.496,0.271
artificial.671,0.27
artificial.208,0.268
artificial.712,0.266
artificial.487,0.263
artificial.594,0.262
artificial.211,0.261
artificial.687,0.261
artificial.87,0.259
artificial.21,0.259
artificial.2,0.258
artificial.365,0.257
artificial.689,0.257
artificial.597,0.256
artificial.355,0.253
artificial.261,0.253
artificial.622,0.251
artificial.403,0.251
artificial.380,0.25
artificial.407,0.249
artificial.751,0.248
artificial.215,0.248
artificial.134,0.241
artificial.618,0.241
artificial.334,0.241
artificial.513,0.24
artificial.140,0.237
artificial.488,0.234
artificial.32,0.234
artificial.577,0.234
artificial.66,0.233
artificial.749,0.232
artificial.128,0.23
artificial.700,0.23
artificial.662,0.227
artificial.510,0.224
artificial.278,0.224
artificial.147,0.223
artificial.544,0.223
artificial.690,0.222
artificial.727,0.221
artificial.575,0.221
artificial.463,0.22
artificial.587,0.219
artificial.325,0.217
artificial.532,0.217
artificial.81,0.216
artificial.265,0.215
artificial.269,0.214
artificial.103,0.213
artificial.28,0.213
artificial.340,0.212
artificial.25,0.211
artificial.122,0.211
artificial.54,0.21
artificial.281,0.208
artificial.535,0.207
artificial.698,0.206
artificial.192,0.206
artificial.251,0.204
artificial.557,0.204
artificial.664,0.203
artificial.111,0.201
artificial.393,0.198
artificial.456,0.197
artificial.514,0.196
artificial.559,0.195
artificial.141,0.195
artificial.404,0.194
artificial.132,0.193
artificial.382,0.193
artificial.209,0.193
artificial.248,0.191
artificial.580,0.191
artificial.651,0.191
artificial.241,0.191
artificial.199,0.191
artificial.667,0.19
artificial.279,0.19
artificial.527,0.186
artificial.191,0.186
artificial.486,0.183
artificial.182,0.183
artificial.479,0.183
artificial.297,0.182
artificial.193,0.181
artificial.563,0.181
artificial.674,0.18
artificial.429,0.179
artificial.447,0.179
artificial.312,0.179
artificial.288,0.177
artificial.636,0.176
artificial.472,0.173
artificial.725,0.173
artificial.167,0.173
artificial.39,0.172
artificial.743,0.171
artificial.734,0.171
artificial.354,0.171
artificial.695,0.17
artificial.508,0.169
artificial.438,0.168
artificial.298,0.168
artificial.302,0.168
artificial.168,0.167
artificial.255,0.167
artificial.672,0.166
artificial.669,0.164
artificial.735,0.162
artificial.681,0.162
artificial.138,0.162
artificial.367,0.157
artificial.670,0.154
artificial.119,0.153
artificial.377,0.152
artificial.461,0.152
artificial.673,0.151
artificial.331,0.15
artificial.720,0.15
artificial.219,0.149
artificial.630,0.149
artificial.262,0.147
artificial.319,0.147
artificial.436,0.146
artificial.519,0.145
artificial.739,0.143
artificial.502,0.143
artificial.1,0.143
artificial.125,0.143
artificial.428,0.142
artificial.741,0.142
artificial.642,0.141
artificial.159,0.14
artificial.625,0.14
artificial.675,0.14
artificial.392,0.14
artificial.164,0.139
artificial.226,0.139
artificial.124,0.135
artificial.160,0.135
artificial.242,0.134
artificial.34,0.133
artificial.320,0.13
artificial.363,0.129
artificial.401,0.129
artificial.84,0.128
artificial.546,0.127
artificial.654,0.127
artificial.529,0.124
artificial.714,0.123
artificial.183,0.122
artificial.149,0.122
artificial.448,0.12
artificial.116,0.12
artificial.24,0.12
artificial.542,0.119
artificial.640,0.118
artificial.626,0.117
artificial.561,0.114
artificial.729,0.113
artificial.495,0.112
artificial.148,0.111
artificial.574,0.111
artificial.583,0.109
artificial.92,0.106
artificial.272,0.106
artificial.173,0.106
artificial.102,0.105
artificial.292,0.104
artificial.108,0.104
artificial.230,0.102
artificial.93,0.101
artificial.511,0.101
artificial.351,0.101
artificial.197,0.1
artificial.212,0.099
artificial.38,0.098
artificial.683,0.096
artificial.684,0.096
artificial.318,0.095
artificial.656,0.095
artificial.223,0.095
artificial.543,0.094
artificial.440,0.094
artificial.489,0.094
artificial.172,0.094
artificial.217,0.092
artificial.268,0.091
artificial.60,0.088
artificial.267,0.088
artificial.96,0.088
artificial.68,0.087
artificial.284,0.087
artificial.195,0.087
artificial.57,0.086
artificial.450,0.085
artificial.231,0.084
artificial.101,0.084
artificial.386,0.083
artificial.595,0.082
artificial.244,0.082
artificial.458,0.082
artificial.500,0.081
artificial.43,0.08
artificial.417,0.079
artificial.560,0.079
artificial.123,0.079
artificial.703,0.079
artificial.289,0.078
artificial.345,0.077
artificial.424,0.076
artificial.358,0.076
artificial.187,0.075
artificial.585,0.075
artificial.455,0.075
artificial.752,0.074
artificial.374,0.073
artificial.730,0.072
artificial.385,0.072
artificial.395,0.071
artificial.610,0.07
artificial.523,0.069
artificial.515,0.068
artificial.639,0.068
artificial.492,0.066
artificial.286,0.066
artificial.582,0.066
artificial.176,0.065
artificial.22,0.064
artificial.106,0.064
artificial.378,0.064
artificial.76,0.063
artificial.110,0.062
artificial.338,0.062
artificial.165,0.062
artificial.665,0.061
artificial.229,0.061
artificial.706,0.06
artificial.10,0.059
artificial.30,0.059
artificial.649,0.059
artificial.185,0.056
artificial.552,0.056
artificial.553,0.055
artificial.711,0.054
artificial.679,0.054
artificial.352,0.054
artificial.688,0.054
artificial.35,0.053
artificial.537,0.053
artificial.146,0.053
artificial.609,0.051
artificial.266,0.051
artificial.442,0.051
artificial.45,0.051
artificial.434,0.05
artificial.466,0.05
artificial.213,0.049
artificial.718,0.049
artificial.115,0.047
artificial.117,0.047
artificial.528,0.046
artificial.705,0.045
artificial.474,0.043
artificial.201,0.042
artificial.629,0.042
artificial.558,0.041
artificial.545,0.041
artificial.181,0.041
artificial.660,0.041
artificial.550,0.04
artificial.23,0.04
artificial.745,0.039
artificial.346,0.039
artificial.91,0.038
artificial.271,0.037
artificial.389,0.037
artificial.490,0.037
artificial.145,0.037
artificial.324,0.037
artificial.620,0.036
artificial.293,0.035
