,ROC AUC,Average Precision,N features,CVS
STABL,"0.500 [0.500, 0.500]","0.500 [0.300, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.380 [0.143, 0.657] (p=0.256)","0.454 [0.266, 0.765] (p=0.342)","7.000 [7.000, 7.000] (p=2.838e-82)","1.000 [0.857, 1.000] (p=0.000e+00)"
SS 05,"0.350 [0.101, 0.604] (p=0.192)","0.493 [0.258, 0.762] (p=0.469)","4.000 [4.000, 5.000] (p=6.835e-80)","0.800 [0.800, 1.000] (p=0.000e+00)"
SS 08,"0.505 [0.375, 0.650] (p=0.493)","0.550 [0.300, 0.743] (p=0.511)","0.000 [0.000, 0.000] (p=4.651e-06)","0.000 [0.000, 0.000] (p=2.017e-43)"
Lasso,"0.270 [0.121, 0.417] (p=0.021)","0.408 [0.218, 0.628] (p=0.051)","0.000 [0.000, 0.500] (p=5.001e-14)","0.000 [0.000, 0.000] (p=9.615e-277)"
Lasso 1SE,"0.270 [0.105, 0.405] (p=0.036)","0.408 [0.221, 0.653] (p=0.06)","0.000 [0.000, 0.500] (p=5.001e-14)","0.000 [0.000, 0.000] (p=9.615e-277)"
ElasticNet,"0.170 [0.024, 0.384] (p=0.026)","0.368 [0.205, 0.611] (p=0.026)","0.000 [0.000, 3.250] (p=5.810e-20)","0.000 [0.000, 0.000] (p=0.000e+00)"
