,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.590 [0.323, 0.859]","0.608 [0.343, 0.901]","1.000 [0.000, 1.000]","0.000 [0.000, 1.000]",5.080e-01
SS 03,"0.600 [0.309, 0.869] (p=0.446)","0.565 [0.321, 0.892] (p=0.377)","2.000 [2.000, 2.000] (p=6.835e-80)","1.000 [1.000, 1.000] (p=0.000e+00)",4.727e-01
SS 05,"0.600 [0.310, 0.857] (p=0.488)","0.565 [0.340, 0.888] (p=0.424)","2.000 [2.000, 2.000] (p=4.225e-74)","1.000 [1.000, 1.000] (p=0.000e+00)",4.727e-01
SS 08,"0.470 [0.182, 0.778] (p=0.257)","0.567 [0.319, 0.834] (p=0.339)","1.000 [1.000, 1.000] (p=1.668e-21)","1.000 [1.000, 1.000] (p=0.000e+00)",8.480e-01
Lasso,"0.730 [0.464, 0.945] (p=0.124)","0.664 [0.434, 0.967] (p=0.386)","3.000 [3.000, 3.000] (p=2.907e-78)","1.000 [1.000, 1.000] (p=0.000e+00)",8.897e-02
Lasso 1SE,"0.730 [0.454, 0.940] (p=0.146)","0.664 [0.422, 0.959] (p=0.398)","3.000 [3.000, 3.000] (p=2.907e-78)","1.000 [1.000, 1.000] (p=0.000e+00)",8.897e-02
ElasticNet,"0.670 [0.414, 0.909] (p=0.289)","0.647 [0.425, 0.931] (p=0.422)","3.000 [3.000, 3.000] (p=1.156e-74)","1.000 [0.667, 1.000] (p=0.000e+00)",2.123e-01
