,ROC AUC,Average Precision,N features,CVS
STABL,"0.590 [0.323, 0.850]","0.669 [0.394, 0.899]","4.500 [1.500, 7.250]","0.222 [0.000, 0.426]"
SS 03,"0.800 [0.570, 0.952] (p=0.083)","0.835 [0.629, 0.977] (p=0.17)","11.000 [10.750, 12.000] (p=1.141e-05)","0.833 [0.750, 0.909] (p=1.219e-58)"
SS 05,"0.800 [0.576, 0.960] (p=0.083)","0.824 [0.581, 0.977] (p=0.143)","8.000 [8.000, 9.000] (p=1.643e-03)","0.778 [0.700, 0.889] (p=8.420e-58)"
SS 08,"0.170 [0.010, 0.390] (p=0.005)","0.368 [0.218, 0.631] (p=0.017)","1.500 [1.000, 2.000] (p=1.365e-02)","0.000 [0.000, 0.333] (p=7.232e-03)"
Lasso,"0.530 [0.260, 0.786] (p=0.368)","0.542 [0.304, 0.891] (p=0.227)","8.500 [4.000, 11.000] (p=1.952e-02)","0.464 [0.273, 0.634] (p=2.713e-19)"
Lasso 1SE,"0.530 [0.253, 0.802] (p=0.381)","0.601 [0.359, 0.877] (p=0.329)","8.500 [3.750, 11.000] (p=2.505e-02)","0.453 [0.273, 0.636] (p=3.108e-18)"
ElasticNet,"0.640 [0.375, 0.893] (p=0.382)","0.682 [0.403, 0.922] (p=0.494)","11.000 [5.750, 15.000] (p=5.159e-04)","0.528 [0.364, 0.688] (p=1.880e-27)"
