,C'=' 0.027,C'=' 0.328,C'=' 0.629,C'=' 0.929,C'=' 1.230,C'=' 1.531,C'=' 1.832,C'=' 2.132,C'=' 2.433,C'=' 2.734
artificial.1,0.0,0.004,0.008,0.009,0.012,0.013,0.013,0.013,0.013,0.013
artificial.2,0.0,0.003,0.007,0.006,0.006,0.008,0.009,0.008,0.01,0.01
artificial.3,0.0,0.057,0.1,0.112,0.117,0.124,0.124,0.128,0.132,0.132
artificial.4,0.0,0.013,0.016,0.018,0.017,0.015,0.019,0.02,0.018,0.018
artificial.5,0.0,0.004,0.006,0.007,0.011,0.01,0.011,0.013,0.012,0.013
artificial.6,0.0,0.053,0.102,0.112,0.12,0.122,0.123,0.128,0.13,0.133
artificial.7,0.0,0.036,0.067,0.078,0.085,0.09,0.088,0.092,0.101,0.098
artificial.8,0.0,0.001,0.005,0.004,0.004,0.007,0.006,0.007,0.007,0.008
artificial.9,0.0,0.19,0.213,0.213,0.218,0.222,0.227,0.228,0.231,0.231
artificial.10,0.0,0.013,0.019,0.02,0.022,0.023,0.022,0.021,0.026,0.022
artificial.11,0.0,0.081,0.095,0.096,0.095,0.098,0.1,0.097,0.1,0.1
artificial.12,0.0,0.003,0.007,0.009,0.009,0.009,0.009,0.01,0.01,0.01
artificial.13,0.0,0.062,0.104,0.11,0.114,0.118,0.119,0.125,0.129,0.129
artificial.14,0.0,0.015,0.022,0.028,0.028,0.028,0.027,0.028,0.029,0.03
artificial.15,0.0,0.021,0.025,0.027,0.028,0.029,0.029,0.03,0.03,0.031
artificial.16,0.0,0.046,0.075,0.085,0.092,0.098,0.105,0.103,0.111,0.107
artificial.17,0.0,0.204,0.228,0.24,0.247,0.25,0.255,0.256,0.26,0.26
artificial.18,0.0,0.001,0.003,0.003,0.003,0.002,0.003,0.004,0.002,0.004
artificial.19,0.0,0.01,0.017,0.02,0.023,0.025,0.022,0.025,0.024,0.025
artificial.20,0.0,0.02,0.027,0.034,0.035,0.036,0.038,0.036,0.037,0.038
artificial.21,0.0,0.003,0.006,0.008,0.008,0.008,0.008,0.008,0.008,0.008
artificial.22,0.0,0.052,0.076,0.08,0.082,0.085,0.086,0.095,0.094,0.094
artificial.23,0.0,0.087,0.103,0.105,0.103,0.105,0.105,0.105,0.11,0.109
artificial.24,0.0,0.176,0.207,0.21,0.218,0.221,0.223,0.225,0.226,0.226
artificial.25,0.0,0.014,0.03,0.034,0.037,0.04,0.038,0.039,0.04,0.04
artificial.26,0.0,0.049,0.06,0.061,0.067,0.069,0.069,0.071,0.071,0.074
artificial.27,0.0,0.018,0.041,0.052,0.056,0.06,0.065,0.062,0.064,0.066
artificial.28,0.0,0.105,0.128,0.136,0.137,0.136,0.135,0.141,0.141,0.14
artificial.29,0.0,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.004
artificial.30,0.0,0.051,0.072,0.076,0.073,0.073,0.075,0.077,0.08,0.079
artificial.31,0.0,0.006,0.011,0.01,0.011,0.01,0.01,0.01,0.011,0.011
artificial.32,0.0,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
artificial.33,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.34,0.0,0.064,0.088,0.094,0.099,0.104,0.107,0.106,0.11,0.116
artificial.35,0.0,0.095,0.147,0.161,0.173,0.176,0.181,0.181,0.184,0.183
artificial.36,0.0,0.002,0.012,0.017,0.017,0.018,0.018,0.018,0.016,0.018
artificial.37,0.0,0.036,0.078,0.089,0.092,0.096,0.096,0.098,0.101,0.103
artificial.38,0.0,0.015,0.018,0.019,0.02,0.022,0.021,0.021,0.022,0.023
artificial.39,0.0,0.157,0.187,0.192,0.199,0.201,0.203,0.204,0.204,0.202
artificial.40,0.0,0.019,0.03,0.035,0.039,0.041,0.041,0.042,0.044,0.044
artificial.41,0.0,0.01,0.012,0.012,0.012,0.013,0.013,0.013,0.014,0.015
artificial.42,0.0,0.077,0.156,0.169,0.187,0.199,0.205,0.205,0.209,0.204
artificial.43,0.0,0.103,0.139,0.156,0.167,0.168,0.169,0.172,0.172,0.177
artificial.44,0.0,0.13,0.156,0.163,0.167,0.172,0.173,0.175,0.175,0.174
artificial.45,0.0,0.014,0.014,0.014,0.015,0.016,0.017,0.017,0.017,0.017
artificial.46,0.0,0.005,0.006,0.008,0.01,0.01,0.01,0.01,0.01,0.01
