,Frequency,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,1.030729217,0.917194815,0.198131646,0.097007017,0.0,0.99956643,0.367550176,0.562142613,0.5188688,0.124178162,0.075902732,0.27392395
1330,0.185138044,0.695626489,0.213254518,0.068504563,0.0,0.852216931,0.407977901,0.63074762,0.477889773,0.126237593,0.077774232,0.432383256
1331,2.488841562,0.719722405,0.223353587,0.087364622,0.0,0.816446349,0.282024431,0.520704682,0.497712784,0.098222197,0.063401801,0.175101705
1337,0.869902661,1.317380151,0.230302541,1.081263609,0.0,0.361535817,0.307991041,0.429678834,0.372650693,0.79306423,0.098372099,0.981951971
1357,0.938730315,0.775942158,0.172601288,0.077795468,0.0,0.319143792,0.321253213,0.479944218,0.395333748,0.114259602,0.044500578,0.294027528
1377,11.78957388,0.837680695,0.25626551,0.098405694,0.0,0.821319823,0.304789985,0.564624563,0.687657286,0.241013449,0.059340175,0.291029298
1381,1.311812545,0.72942509,0.176978631,0.05800768,0.0,0.414880523,0.23243276,0.381058459,0.376497394,0.09881353,0.007869149,0.201838114
1400,0.914103924,0.639019306,0.168770987,0.062914486,0.0,0.242552916,0.258151818,0.575675775,0.349640017,0.087623424,0.020324823,0.270544947
1414,0.425001317,0.970631959,0.158852845,0.202066706,0.0,0.712945324,0.536889996,0.709764018,0.690955991,0.133051141,0.055188174,0.32796399
1418,0.907083136,0.813874849,0.184580234,0.122660773,0.0,0.160648233,0.383479909,0.762230353,0.633214815,0.125159481,0.061822065,0.331700432
1427,1.191340506,0.51084962,0.145080579,0.057077072,0.0,0.485067386,0.362384528,0.419727306,0.325932358,0.056631949,0.031603011,0.164370803
1428,1.765920037,0.59620755,0.159157399,0.061147914,0.0,0.370121732,0.268361988,0.444703041,0.374042665,0.089428452,0.05602848,0.187468264
1431,3.429676126,0.843054324,0.162274891,0.087631077,0.0,0.401173023,0.357103855,0.316278154,0.423779568,0.139631062,0.045971632,0.255806841
1464,1.817726747,1.301511478,0.128019361,0.40518034,0.0,0.15991727,0.325353144,0.295180512,0.413021161,0.118473569,0.051020693,0.482525772
1469,7.129285594,1.432602913,0.155165342,1.290727059,0.0,0.348664793,0.394681598,0.596766402,0.41544027,1.274405515,0.093609378,1.114696844
1472,0.563277006,0.676355405,0.212196613,0.134037013,0.0,0.432352532,0.583335182,0.453654937,0.52732166,0.082329204,0.01549749,0.323630282
1473,1.192317608,0.453112806,0.123953852,0.018090097,0.0,0.406332983,0.436274818,0.487223274,0.274860091,0.029612895,0.019492103,0.149910917
1475,0.874770922,0.420301671,0.122493488,0.020119517,0.0,0.349853929,0.403481561,0.410486864,0.247581855,0.062128815,0.0,0.193493807
1480,1.334592889,0.529774382,0.154593318,0.026099687,0.0,0.415303951,0.532450038,0.455132904,0.397780351,0.065071888,0.016487812,0.21116057
1488,2.519352234,0.759862526,0.200848748,0.074948745,0.0,0.478810431,0.648072402,0.430074749,0.447413748,0.098770162,0.036521594,0.251351652
