,ROC AUC,Average Precision,N features,CVS
STABL,"0.500 [0.357, 0.636]","0.529 [0.300, 0.743]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.470 [0.214, 0.738] (p=0.44)","0.596 [0.339, 0.854] (p=0.269)","13.000 [11.750, 13.000] (p=3.077e-07)","0.562 [0.471, 0.638] (p=1.742e-72)"
SS 05,"0.515 [0.238, 0.778] (p=0.45)","0.582 [0.324, 0.860] (p=0.366)","5.000 [4.000, 6.000] (p=3.152e-07)","0.472 [0.333, 0.600] (p=1.609e-72)"
SS 08,"0.360 [0.202, 0.500] (p=0.162)","0.453 [0.257, 0.658] (p=0.237)","0.000 [0.000, 0.000] (p=7.595e-01)","0.000 [0.000, 0.000] (p=1.000e+00)"
Lasso,"0.175 [0.054, 0.315] (p=0.005)","0.387 [0.202, 0.626] (p=0.012)","0.000 [0.000, 5.750] (p=4.080e-02)","0.000 [0.000, 0.000] (p=3.049e-07)"
Lasso 1SE,"0.240 [0.099, 0.375] (p=0.015)","0.408 [0.225, 0.628] (p=0.031)","0.000 [0.000, 4.500] (p=1.262e-01)","0.000 [0.000, 0.000] (p=3.318e-04)"
ElasticNet,"0.200 [0.030, 0.420] (p=0.012)","0.381 [0.215, 0.676] (p=0.043)","0.000 [0.000, 2.000] (p=6.977e-02)","0.000 [0.000, 0.000] (p=1.969e-05)"
