,ROC AUC,Average Precision,N features,CVS
STABL,"0.320 [0.176, 0.455]","0.453 [0.242, 0.685]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.310 [0.081, 0.573] (p=0.421)","0.436 [0.250, 0.745] (p=0.396)","4.000 [4.000, 4.000] (p=2.706e-62)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.310 [0.107, 0.563] (p=0.435)","0.436 [0.239, 0.736] (p=0.408)","4.000 [4.000, 4.000] (p=2.706e-62)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.430 [0.152, 0.707] (p=0.206)","0.500 [0.278, 0.819] (p=0.311)","4.000 [3.000, 4.000] (p=6.595e-44)","0.750 [0.667, 1.000] (p=0.000e+00)"
Lasso,"0.315 [0.125, 0.516] (p=0.482)","0.500 [0.263, 0.737] (p=0.251)","0.000 [0.000, 2.000] (p=2.391e-01)","0.000 [0.000, 0.000] (p=8.068e-97)"
Lasso 1SE,"0.315 [0.125, 0.542] (p=0.482)","0.500 [0.278, 0.722] (p=0.253)","0.000 [0.000, 2.000] (p=2.391e-01)","0.000 [0.000, 0.000] (p=8.068e-97)"
ElasticNet,"0.380 [0.152, 0.656] (p=0.37)","0.447 [0.254, 0.759] (p=0.467)","0.000 [0.000, 2.000] (p=4.602e-03)","0.000 [0.000, 0.000] (p=0.000e+00)"
