,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,0.495070925,0.061967082,0.0,0.0,0.413401172,0.737171256,0.385364579,0.194564948,0.0,0.0,0.106905499
1330,0.182524537,0.031437437,0.0,0.0,0.183763012,0.405044005,0.286038881,0.141227234,0.0,0.0,0.039065869
1331,0.192428451,0.015816193,0.0,0.0,0.05685259,0.534944983,0.224052545,0.201943311,0.0,0.0,0.051853501
1337,0.286516012,0.083697008,0.0,0.0,0.543097224,0.598321866,0.390276465,0.15231177,0.0,0.0,0.046831898
1357,0.214755934,0.014215365,0.0,0.0,0.166556151,0.581121389,0.200085532,0.132100357,0.0,0.0,0.079342153
1377,0.071818401,0.0,0.0,0.0,0.45319039,0.0,0.197806921,0.212869541,0.0,0.0,0.0
1381,0.020846737,0.0,0.0,0.0,0.0,0.0,0.108995517,0.059461435,0.0,0.0,0.0
1400,0.044912663,0.0,0.0,0.0,0.0,0.0,0.223674903,0.157332245,0.0,0.0,0.0
1414,0.0,0.0,0.032351563,0.0,0.0,0.0,0.0,0.0524768,0.0,0.0,0.0
1418,0.084074549,0.076140485,0.059984956,0.0,0.0,0.0417941,0.258672241,0.323267106,0.0,0.016869864,0.090071267
1427,0.033394519,0.0,0.0,0.0,0.0,0.101598195,0.11512904,0.023558202,0.0,0.0,0.0
1428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1431,0.0,0.0,0.0,0.0,0.0,0.0,0.004962737,0.0,0.0,0.0,0.0
1464,0.0,0.0,0.0,0.0,0.060511751,0.077564369,0.115993122,0.096098858,0.0,0.0,0.0
1469,0.00642157,0.0,0.0,0.0,0.0,0.028143531,0.09761907,0.0,0.0,0.0,0.0
1472,0.0,0.0,0.0,0.0,0.0,0.095694291,0.107912428,0.07824316,0.0,0.0,0.0
1473,0.006022406,0.0,0.0,0.0,0.029661904,0.160398408,0.207938266,0.168033432,0.0,0.0,0.0
1475,0.002954995,0.0,0.0,0.0,0.0,0.144834569,0.183697495,0.155772077,0.0,0.0,0.0
1480,0.036149399,0.034264297,0.0,0.0,0.047150838,0.191571872,0.199094356,0.182425448,0.0,0.0,0.0
1488,0.0,0.0,0.0,0.0,0.0,0.168804037,0.046480354,0.126304211,0.0,0.0,0.0
