,ROC AUC,Average Precision,N features,CVS
STABL,"0.610 [0.297, 0.865]","0.747 [0.464, 0.928]","12.000 [10.000, 15.000]","0.571 [0.468, 0.667]"
SS 03,"0.860 [0.625, 1.000] (p=0.036)","0.917 [0.743, 1.000] (p=0.079)","15.000 [14.000, 16.000] (p=1.365e-02)","0.722 [0.591, 0.800] (p=3.684e-15)"
SS 05,"0.840 [0.576, 1.000] (p=0.058)","0.902 [0.713, 1.000] (p=0.105)","12.000 [11.000, 13.000] (p=1.000e+00)","0.688 [0.533, 0.833] (p=3.177e-11)"
SS 08,"0.480 [0.208, 0.750] (p=0.142)","0.631 [0.370, 0.868] (p=0.078)","5.000 [5.000, 5.000] (p=4.134e-08)","0.571 [0.429, 0.667] (p=9.522e-01)"
Lasso,"0.790 [0.542, 0.973] (p=0.071)","0.845 [0.611, 0.992] (p=0.207)","16.000 [14.750, 17.250] (p=1.113e-02)","0.615 [0.484, 0.706] (p=3.042e-02)"
Lasso 1SE,"0.820 [0.596, 1.000] (p=0.059)","0.861 [0.631, 1.000] (p=0.165)","16.500 [15.000, 18.250] (p=5.140e-03)","0.628 [0.500, 0.720] (p=1.806e-02)"
ElasticNet,"0.910 [0.760, 1.000] (p=0.028)","0.937 [0.817, 1.000] (p=0.081)","72.000 [57.750, 105.500] (p=6.588e-08)","0.577 [0.466, 0.693] (p=7.976e-01)"
