,ROC AUC,Average Precision,N features,CVS
STABL,"0.500 [0.500, 0.500]","0.500 [0.300, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.490 [0.208, 0.781] (p=0.48)","0.618 [0.354, 0.886] (p=0.194)","15.000 [13.000, 15.000] (p=6.727e-09)","0.525 [0.444, 0.632] (p=1.220e-72)"
SS 05,"0.490 [0.187, 0.790] (p=0.479)","0.618 [0.358, 0.874] (p=0.194)","15.000 [13.000, 15.000] (p=6.727e-09)","0.525 [0.444, 0.632] (p=1.220e-72)"
SS 08,"0.490 [0.208, 0.771] (p=0.472)","0.618 [0.344, 0.883] (p=0.186)","15.000 [13.000, 15.000] (p=6.727e-09)","0.525 [0.444, 0.632] (p=1.220e-72)"
Lasso,"0.410 [0.148, 0.688] (p=0.295)","0.589 [0.306, 0.832] (p=0.227)","8.500 [1.000, 12.000] (p=1.087e-06)","0.121 [0.000, 0.366] (p=9.623e-36)"
Lasso 1SE,"0.430 [0.146, 0.717] (p=0.341)","0.589 [0.302, 0.839] (p=0.227)","8.500 [0.000, 12.000] (p=9.304e-06)","0.000 [0.000, 0.357] (p=8.719e-27)"
ElasticNet,"0.140 [0.000, 0.343] (p=0.011)","0.363 [0.212, 0.635] (p=0.022)","2.500 [0.000, 13.250] (p=6.667e-05)","0.000 [0.000, 0.113] (p=1.229e-17)"
