,ROC AUC,Average Precision,N features,CVS
STABL,"0.860 [0.656, 1.000]","0.908 [0.745, 1.000]","8.000 [6.000, 9.000]","0.600 [0.500, 0.700]"
SS 03,"0.730 [0.480, 0.938] (p=0.168)","0.803 [0.570, 0.951] (p=0.141)","7.000 [7.000, 8.000] (p=1.000e+00)","0.727 [0.667, 0.778] (p=1.653e-18)"
SS 05,"0.250 [0.060, 0.484] (p=0.0)","0.390 [0.234, 0.684] (p=0.0)","1.000 [1.000, 1.250] (p=4.518e-08)","0.000 [0.000, 0.500] (p=2.614e-28)"
SS 08,"0.500 [0.500, 0.500] (p=0.009)","0.500 [0.300, 0.700] (p=0.001)","0.000 [0.000, 0.000] (p=7.549e-09)","0.000 [0.000, 0.000] (p=1.187e-72)"
Lasso,"0.590 [0.297, 0.868] (p=0.026)","0.665 [0.393, 0.903] (p=0.014)","8.500 [4.000, 11.000] (p=5.408e-01)","0.500 [0.286, 0.643] (p=2.038e-08)"
Lasso 1SE,"0.570 [0.280, 0.860] (p=0.014)","0.657 [0.386, 0.911] (p=0.028)","8.500 [3.750, 11.000] (p=6.056e-01)","0.464 [0.273, 0.643] (p=7.994e-10)"
ElasticNet,"0.640 [0.354, 0.868] (p=0.023)","0.682 [0.441, 0.933] (p=0.018)","11.000 [5.750, 15.000] (p=1.805e-02)","0.528 [0.364, 0.688] (p=1.555e-03)"
